Date,Open,High,Low,Close
"Apr 04, 1984",820.57,820.57,820.57,820.57
"Apr 05, 1984",811.66,811.66,811.66,811.66
"Apr 06, 1984",810.68,810.68,810.68,810.68
"Apr 09, 1984",811.97,811.97,811.97,811.97
"Apr 10, 1984",811.89,811.89,811.89,811.89
"Apr 11, 1984",811.75,811.75,811.75,811.75
"Apr 12, 1984",804.09,804.09,804.09,804.09
"Apr 13, 1984",807.47,807.47,807.47,807.47
"Apr 16, 1984",809.39,809.39,809.39,809.39
"Apr 17, 1984",808.85,808.85,808.85,808.85
"Apr 18, 1984",811.35,811.35,811.35,811.35
"Apr 19, 1984",813.06,813.06,813.06,813.06
"Apr 20, 1984",813.06,813.06,813.06,813.06
"Apr 23, 1984",819.42,819.42,819.42,819.42
"Apr 24, 1984",815.58,815.58,815.58,815.58
"Apr 25, 1984",808.28,808.28,808.28,808.28
"Apr 26, 1984",804.57,804.57,804.57,804.57
"Apr 27, 1984",803.03,803.03,803.03,803.03
"Apr 30, 1984",802.04,802.04,802.04,802.04
"May 01, 1984",804.01,804.01,804.01,804.01
"May 02, 1984",810.56,810.56,810.56,810.56
"May 03, 1984",810.57,810.57,810.57,810.57
"May 04, 1984",813.49,813.49,813.49,813.49
"May 07, 1984",810.67,810.67,810.67,810.67
"May 08, 1984",811.94,811.94,811.94,811.94
"May 09, 1984",816.33,816.33,816.33,816.33
"May 10, 1984",818.52,818.52,818.52,818.52
"May 11, 1984",816.66,816.66,816.66,816.66
"May 14, 1984",818.4,818.4,818.4,818.4
"May 15, 1984",815.91,815.91,815.91,815.91
"May 16, 1984",826.37,826.37,826.37,826.37
"May 17, 1984",828.43,828.43,828.43,828.43
"May 18, 1984",836.2,836.2,836.2,836.2
"May 21, 1984",839.23,839.23,839.23,839.23
"May 22, 1984",836.09,836.09,836.09,836.09
"May 23, 1984",832.93,832.93,832.93,832.93
"May 24, 1984",833.82,833.82,833.82,833.82
"May 25, 1984",832.69,832.69,832.69,832.69
"May 28, 1984",832.69,832.69,832.69,832.69
"May 29, 1984",827.21,827.21,827.21,827.21
"May 30, 1984",827.39,827.39,827.39,827.39
"May 31, 1984",825.33,825.33,825.33,825.33
"Jun 01, 1984",823.25,823.25,823.25,823.25
"Jun 04, 1984",823.59,823.59,823.59,823.59
"Jun 05, 1984",823.35,823.35,823.35,823.35
"Jun 06, 1984",821.55,821.55,821.55,821.55
