Date,Open,High,Low,Close,Adj Close,Volume
2014-08-12,3515.560059,3522.679932,3502.070068,3511.959961,3511.959961,0
2014-08-13,3516.219971,3539.379883,3516.219971,3536.419922,3536.419922,0
2014-08-14,3537.850098,3551.969971,3537.850098,3551.969971,3551.969971,0
2014-08-15,3559.090088,3568.479980,3527.750000,3552.169922,3552.169922,0
2014-08-18,3558.389893,3583.139893,3558.389893,3582.699951,3582.699951,0
2014-08-19,3585.209961,3603.090088,3585.209961,3601.330078,3601.330078,0
2014-08-20,3599.500000,3614.189941,3594.449951,3610.489990,3610.489990,0
2014-08-21,3611.149902,3625.580078,3611.149902,3621.229980,3621.229980,0
2014-08-22,3622.129883,3623.750000,3608.189941,3614.500000,3614.500000,0
2014-08-25,3620.629883,3639.189941,3620.629883,3631.860107,3631.860107,0
2014-08-26,3633.110107,3644.830078,3633.110107,3635.709961,3635.709961,0
2014-08-27,3637.409912,3640.320068,3629.540039,3636.639893,3636.639893,0
2014-08-28,3632.219971,3634.219971,3619.729980,3630.979980,3630.979980,0
2014-08-29,3634.399902,3643.330078,3627.489990,3643.330078,3643.330078,0
2014-09-02,3644.770020,3648.419922,3628.060059,3641.520020,3641.520020,0
2014-09-03,3644.530029,3654.909912,3634.689941,3639.350098,3639.350098,0
2014-09-04,3641.179932,3658.459961,3624.669922,3633.870117,3633.870117,0
2014-09-05,3634.590088,3652.260010,3620.239990,3652.260010,3652.260010,0
2014-09-08,3651.899902,3651.899902,3630.860107,3641.659912,3641.659912,0
2014-09-09,3640.239990,3640.239990,3611.040039,3617.889893,3617.889893,0
2014-09-10,3618.199951,3633.189941,3608.370117,3631.449951,3631.449951,0
2014-09-11,3627.290039,3636.010010,3614.739990,3635.659912,3635.659912,0
2014-09-12,3634.449951,3634.449951,3604.629883,3614.060059,3614.060059,0
2014-09-15,3614.989990,3616.909912,3601.510010,3611.520020,3611.520020,0
2014-09-16,3607.560059,3644.600098,3602.629883,3638.600098,3638.600098,0
2014-09-17,3639.270020,3659.969971,3628.389893,3643.399902,3643.399902,0
2014-09-18,3646.639893,3663.489990,3646.639893,3661.729980,3661.729980,0
2014-09-19,3664.290039,3676.159912,3653.129883,3660.030029,3660.030029,0
2014-09-22,3657.629883,3657.629883,3624.729980,3630.699951,3630.699951,0
2014-09-23,3628.330078,3633.120117,3610.100098,3610.100098,3610.100098,0
2014-09-24,3611.199951,3641.149902,3602.850098,3638.439941,3638.439941,0
2014-09-25,3636.659912,3636.659912,3579.610107,3579.610107,3579.610107,0
2014-09-26,3580.709961,3617.399902,3580.709961,3610.979980,3610.979980,0
2014-09-29,3604.199951,3608.370117,3577.030029,3602.090088,3602.090088,0
2014-09-30,3603.040039,3615.419922,3586.250000,3592.250000,3592.250000,0
2014-10-01,3591.020020,3591.020020,3536.889893,3544.979980,3544.979980,0
2014-10-02,3544.679932,3556.139893,3508.870117,3545.300049,3545.300049,0
2014-10-03,3548.899902,3590.870117,3548.899902,3584.939941,3584.939941,0
2014-10-06,3588.870117,3602.949951,3567.879883,3579.419922,3579.419922,0
2014-10-07,3574.959961,3574.959961,3524.879883,3525.290039,3525.290039,0
2014-10-08,3527.330078,3590.689941,3508.570068,3588.070068,3588.070068,0
2014-10-09,3586.050049,3586.050049,3513.280029,3514.120117,3514.120117,0
2014-10-10,3509.770020,3530.439941,3474.090088,3474.229980,3474.229980,0
2014-10-13,3473.360107,3485.100098,3415.929932,3417.010010,3417.010010,0
2014-10-14,3421.360107,3460.709961,3411.790039,3422.429932,3422.429932,0
2014-10-15,3416.340088,3416.340088,3319.830078,3395.030029,3395.030029,0
2014-10-16,3383.219971,3419.600098,3345.370117,3395.639893,3395.639893,0
2014-10-17,3399.550049,3460.120117,3399.550049,3439.389893,3439.389893,0
2014-10-20,3437.370117,3472.600098,3431.389893,3470.889893,3470.889893,0
2014-10-21,3480.750000,3541.030029,3480.750000,3538.899902,3538.899902,0
2014-10-22,3539.320068,3553.939941,3512.959961,3513.469971,3513.469971,0
2014-10-23,3520.590088,3576.929932,3520.590088,3556.699951,3556.699951,0
2014-10-24,3558.139893,3583.080078,3548.560059,3581.820068,3581.820068,0
2014-10-27,3578.919922,3581.909912,3557.800049,3576.469971,3576.469971,0
2014-10-28,3581.050049,3619.169922,3581.050049,3619.159912,3619.159912,0
2014-10-29,3616.320068,3631.090088,3590.340088,3614.530029,3614.530029,0
2014-10-30,3609.649902,3645.570068,3601.360107,3637.300049,3637.300049,0
2014-10-31,3649.250000,3680.219971,3649.250000,3679.989990,3679.989990,0
2014-11-03,3680.310059,3691.699951,3672.050049,3679.580078,3679.580078,0
2014-11-04,3675.949951,3676.260010,3648.969971,3669.179932,3669.179932,0
2014-11-05,3676.270020,3691.679932,3674.719971,3691.379883,3691.379883,0
2014-11-06,3692.070068,3707.169922,3678.909912,3706.449951,3706.449951,0
2014-11-07,3709.260010,3712.649902,3695.959961,3708.459961,3708.459961,0
2014-11-10,3708.840088,3721.010010,3705.510010,3720.250000,3720.250000,0
2014-11-11,3720.129883,3725.699951,3714.800049,3722.840088,3722.840088,0
2014-11-12,3720.379883,3725.030029,3709.850098,3721.300049,3721.300049,0
2014-11-13,3723.370117,3736.080078,3707.469971,3723.580078,3723.580078,0
2014-11-14,3724.780029,3729.219971,3716.489990,3724.919922,3724.919922,0
2014-11-17,3722.330078,3730.929932,3715.330078,3727.860107,3727.860107,0
2014-11-18,3728.899902,3755.520020,3728.899902,3747.739990,3747.739990,0
2014-11-19,3746.800049,3748.590088,3727.129883,3742.350098,3742.350098,0
2014-11-20,3737.300049,3751.860107,3727.469971,3749.870117,3749.870117,0
2014-11-21,3758.989990,3784.570068,3757.719971,3770.030029,3770.030029,0
2014-11-24,3772.949951,3782.270020,3772.949951,3780.879883,3780.879883,0
