,riskparity_nested,riskparity,riskparity_pylib
2019-05-20,100.0,100.0,100.0
2019-05-21,100.0,100.0,100.0
2019-05-22,100.0,100.0,100.0
2019-05-23,100.0,100.0,100.0
2019-05-24,100.0,100.0,100.0
2019-05-28,100.0,100.0,100.0
2019-05-29,100.0,100.0,100.0
2019-05-30,100.0,100.0,100.0
2019-05-31,100.0,100.0,100.0
2019-06-03,100.0,100.0,100.0
2019-06-04,100.0,100.0,100.0
2019-06-05,100.0,100.0,100.0
2019-06-06,100.0,100.0,100.0
2019-06-07,100.0,100.0,100.0
2019-06-10,100.0,100.0,100.0
2019-06-11,100.0,100.0,100.0
2019-06-12,100.0,100.0,100.0
2019-06-13,100.0,100.0,100.0
2019-06-14,100.0,100.0,100.0
2019-06-17,100.0,100.0,100.0
2019-06-18,100.0,100.0,100.0
2019-06-19,100.0,100.0,100.0
2019-06-20,100.0,100.0,100.0
2019-06-21,100.0,100.0,100.0
2019-06-24,100.0,100.0,100.0
2019-06-25,100.0,100.0,100.0
2019-06-26,100.0,100.0,100.0
2019-06-27,100.0,100.0,100.0
2019-06-28,100.0,100.0,100.0
2019-07-01,100.0,100.0,100.0
2019-07-02,100.0,100.0,100.0
2019-07-03,100.0,100.0,100.0
2019-07-05,100.0,100.0,100.0
2019-07-08,100.0,100.0,100.0
2019-07-09,100.0,100.0,100.0
2019-07-10,100.0,100.0,100.0
2019-07-11,100.0,100.0,100.0
2019-07-12,100.0,100.0,100.0
2019-07-15,100.0,100.0,100.0
2019-07-16,100.0,100.0,100.0
2019-07-17,100.0,100.0,100.0
2019-07-18,100.0,100.0,100.0
2019-07-19,100.0,100.0,100.0
2019-07-22,100.0,100.0,100.0
2019-07-23,100.0,100.0,100.0
2019-07-24,100.0,100.0,100.0
2019-07-25,100.0,100.0,100.0
2019-07-26,100.0,100.0,100.0
2019-07-29,100.0,100.0,100.0
2019-07-30,100.0,100.0,100.0
2019-07-31,100.0,100.0,100.0
2019-08-01,100.0,100.0,100.0
2019-08-02,100.0,100.0,100.0
2019-08-05,100.0,100.0,100.0
2019-08-06,100.0,100.0,100.0
2019-08-07,100.0,100.0,100.0
2019-08-08,100.0,100.0,100.0
2019-08-09,100.0,100.0,100.0
2019-08-12,100.0,100.0,100.0
2019-08-13,100.0,100.0,100.0
2019-08-14,100.0,100.0,100.0
2019-08-15,100.0,100.0,100.0
2019-08-16,100.0,100.0,100.0
2019-08-19,100.0,100.0,100.0
2019-08-20,100.0,100.0,100.0
2019-08-21,100.0,100.0,100.0
2019-08-22,100.0,100.0,100.0
2019-08-23,100.0,100.0,100.0
2019-08-26,100.0,100.0,100.0
2019-08-27,100.0,100.0,100.0
2019-08-28,100.0,100.0,100.0
2019-08-29,100.0,100.0,100.0
2019-08-30,100.0,100.0,100.0
2019-09-03,100.0,100.0,100.0
2019-09-04,100.0,100.0,100.0
2019-09-05,100.0,100.0,100.0
2019-09-06,100.0,100.0,100.0
2019-09-09,100.0,100.0,100.0
2019-09-10,100.0,100.0,100.0
2019-09-11,100.0,100.0,100.0
2019-09-12,100.0,100.0,100.0
2019-09-13,100.0,100.0,100.0
2019-09-16,100.0,100.0,100.0
2019-09-17,100.0,100.0,100.0
2019-09-18,100.0,100.0,100.0
2019-09-19,100.0,100.0,100.0
2019-09-20,101.81517651748658,101.32587373924255,101.32587373924255
2019-09-23,102.14168506240841,101.6143750247955,101.6143750247955
2019-09-24,103.5438462104797,102.45379882621765,102.45379882621765
2019-09-25,101.08321850204464,100.57603507041931,100.57603507041931
2019-09-26,101.6566354141235,100.9827661819458,100.9827661819458
2019-09-27,101.49597167968746,100.60240707778931,100.60240707778931
2019-09-30,101.19092599105831,100.48336725807188,100.48336725807188
2019-10-01,101.46788560867306,100.23354184532165,100.23354184532165
2019-10-02,102.01215347290035,99.98358736038207,99.98358736038207
2019-10-03,103.72125397109981,101.67141145515438,101.67141145515438
2019-10-04,104.81752147674557,103.11570498275756,103.11570498275756
2019-10-07,103.25515427017208,101.63002461433408,101.63002461433408
2019-10-08,103.52900143051144,101.26838011360165,101.26838011360165
2019-10-09,103.06528177261349,101.23066080665585,101.23066080665585
2019-10-10,101.18262268066402,99.8893496170044,99.8893496170044
2019-10-11,99.71021373367306,99.05941995429993,99.05941995429993
2019-10-14,100.7058844413757,99.85697350502014,99.85697350502014
2019-10-15,99.25376431274411,99.04485386276245,99.04485386276245
2019-10-16,99.78595694351192,99.39747576332093,99.39747576332093
2019-10-17,99.85800132369991,99.55819669914241,99.55819669914241
2019-10-18,99.94030995368954,99.67726518440243,99.67726518440243
2019-10-21,100.05644249725339,99.91868810462948,99.91868810462948
2019-10-22,100.16292451095578,100.05080925559994,100.05080925559994
2019-10-23,100.26632270812985,100.21297971534726,100.21297971534726
2019-10-24,100.40955853271481,100.43597308158871,100.43597308158871
2019-10-25,100.10925779342648,99.98956509208675,99.98956509208675
2019-10-28,99.72175202751156,99.44384282493587,99.44384282493587
2019-10-29,99.76349564170833,99.5126982631683,99.5126982631683
2019-10-30,99.97087892532345,99.79336445045467,99.79336445045467
2019-10-31,100.08922947120662,99.90528506278989,99.90528506278989
2019-11-01,100.04638393211361,99.87552548408505,99.87552548408505
2019-11-04,99.6966708488464,99.38821571922298,99.38821571922298
2019-11-05,99.44790783119198,99.06312821769711,99.06312821769711
2019-11-06,99.5059052200317,99.12972785758969,99.12972785758969
2019-11-07,99.17907007789609,98.71642386436459,98.71642386436459
2019-11-08,99.05269898986813,98.55141258811948,98.55141258811948
2019-11-11,98.87962706565852,98.27624812126156,98.27624812126156
2019-11-12,98.95821035766598,98.38711049079892,98.38711049079892
2019-11-13,99.32007388114926,98.93554268074033,98.93554268074033
2019-11-14,99.39381745147699,99.01716526985165,99.01716526985165
2019-11-15,99.23481676101679,99.2244364776611,99.2244364776611
2019-11-18,99.91067939758295,99.77439313125606,99.77439313125606
2019-11-19,100.49662501907343,100.26077673721309,100.26077673721309
2019-11-20,101.45949231719963,100.87869293403622,100.87869293403622
2019-11-21,100.39292105484003,99.92913276863095,99.92913276863095
2019-11-22,100.57387189865106,100.14053829193111,100.14053829193111
2019-11-25,100.67606501770013,100.59644214248651,100.59644214248651
2019-11-26,101.64463093566887,101.49658548164362,101.49658548164362
2019-11-27,101.12936981201166,101.26013830947872,101.26013830947872
2019-11-29,100.89319098663326,100.94729556846615,100.94729556846615
2019-12-02,99.29905538940424,99.23399384117123,99.23399384117123
2019-12-03,101.71997736740107,100.91844000053402,100.91844000053402
2019-12-04,100.72502933502192,100.35588062095638,100.35588062095638
2019-12-05,100.34879227066034,100.13194200706478,100.13194200706478
2019-12-06,99.41318681335444,99.74216187858578,99.74216187858578
2019-12-09,99.5509970169067,99.72551778221127,99.72551778221127
2019-12-10,99.48734907150263,99.63583842277524,99.63583842277524
2019-12-11,100.92742011260981,100.94492904663082,100.94492904663082
2019-12-12,99.07032758712764,99.85546911239621,99.85546911239621
2019-12-13,100.47346353530877,101.0166566982269,101.0166566982269
2019-12-16,100.80798465347283,101.64752032279965,101.64752032279965
2019-12-17,100.87479228973382,101.76258500862117,101.76258500862117
2019-12-18,101.0110678405761,102.02431636238094,102.02431636238094
2019-12-19,100.9731431846618,101.9783233890533,101.9783233890533
2019-12-20,101.20275705718987,102.38143413352962,102.38143413352962
2019-12-23,100.89609593200677,101.89273090934749,101.89273090934749
2019-12-24,100.94397468185419,101.95184714698787,101.95184714698787
2019-12-26,100.96608906936638,102.00243898582455,102.00243898582455
2019-12-27,101.05311795806877,102.13707390785214,102.13707390785214
2019-12-30,101.05802635574334,102.12587080574032,102.12587080574032
2019-12-31,101.209582660675,102.43417694282527,102.43417694282527
2020-01-02,100.79596541595451,101.76098866081234,101.76098866081234
2020-01-03,100.82966110992426,101.68945556449886,101.68945556449886
2020-01-06,100.89211463165276,101.83201819419857,101.83201819419857
2020-01-07,100.85720095443718,101.77986415672298,101.77986415672298
2020-01-08,100.85966170883171,101.85291026496884,101.85291026496884
2020-01-09,100.96712577438349,102.06021883964534,102.06021883964534
2020-01-10,101.04477759933467,102.12247209358212,102.12247209358212
2020-01-13,101.19887209701533,102.43911178016658,102.43911178016658
2020-01-14,101.25445687866205,102.49195163917538,102.49195163917538
2020-01-15,102.25565032196037,103.41618280982968,103.41673154640193
2020-01-16,102.07477743339531,103.63394118309017,103.63419060897823
2020-01-17,101.7880257072448,103.49720751380917,103.49678847694393
2020-01-21,102.77190568542476,104.1878847751617,104.18826390266415
2020-01-22,103.04430682563776,104.4246028347015,104.4252712974548
2020-01-23,103.91124356269829,105.1525457744598,105.15378292846675
2020-01-24,104.67658038520807,105.36519633293148,105.36714185714717
2020-01-27,106.16588568878169,105.85883103370662,105.86216336631772
2020-01-28,105.06374015426633,105.38096514320371,105.38355917549131
2020-01-29,106.66623762893673,106.6277904987335,106.63124255561827
2020-01-30,106.97376988983149,106.96893449592588,106.97244641685484
2020-01-31,107.68146977043148,106.74015026664732,106.7444603500366
2020-02-03,107.44238244247433,106.83201857185362,106.83626879310606
2020-02-04,105.80073385810849,106.13116691398619,106.13410016632078
2020-02-05,105.0150538692474,106.02944544792176,106.0314009475708
2020-02-06,105.88153119087215,106.94788684654235,106.95026138305663
2020-02-07,107.04861529159542,107.677901140213,107.6813432216644
2020-02-10,107.9009360580444,108.71737332344053,108.72108478355406
2020-02-11,107.16099923133847,108.16803378105163,108.17123641204834
2020-02-12,106.64686167716972,108.07630413627625,108.07905780029297
2020-02-13,107.02899230766289,108.6509093952179,108.65303453826904
2020-02-14,107.19596343803398,108.90785070037842,108.90995585250855
2020-02-18,107.48246937370293,109.28720660591125,109.28808464813233
2020-02-19,107.11877659416191,108.7378386516571,108.73982403564453
2020-02-20,107.20406851005546,108.78026711654663,108.78046670913696
2020-02-21,107.14823019981377,108.50402807617188,108.50090554428101
2020-02-24,106.72775852775567,107.373692237854,107.36141151046753
2020-02-25,106.03213461112969,105.97105989074707,105.95191555404664
2020-02-26,105.85120398521418,105.66473992156982,105.6454659538269
2020-02-27,104.58675198173518,103.18360557174682,103.1548342628479
2020-02-28,103.46654983329768,101.3320849723816,101.30124844741822
2020-03-02,104.75109334373467,103.69733090209961,103.6730885887146
2020-03-03,104.46570043754572,102.83861087417603,102.80749486160278
2020-03-04,105.91550224113458,105.54927054595947,105.52629514694213
2020-03-05,105.40783754539483,104.2628412475586,104.23094695663453
2020-03-06,104.86757729911797,102.96415253829956,102.92310956192017
2020-03-09,103.20863472557062,99.50952196884155,99.45189831924438
2020-03-10,103.77959508323664,101.16459281921387,101.12160488510132
2020-03-11,102.95258402061457,99.75589740753173,99.71081495285034
2020-03-12,100.91967265892025,96.00175392913822,95.94433097457889
2020-03-13,100.57708662986752,96.16556462097172,96.10030046081546
2020-03-16,101.9182928562164,96.46139553642273,96.40874115371705
2020-03-17,96.19526756858822,91.24306284332275,91.18602895736694
2020-03-18,88.16013568687433,83.28007111740112,83.2273069972992
2020-03-19,89.66666282463066,84.90966957473755,84.8570550956726
2020-03-20,94.69459574508663,89.61865444564823,89.56922234153751
2020-03-23,100.2586186752319,94.99127449607849,94.94350839805603
2020-03-24,101.82544547271725,97.19943401527408,97.14647037315372
2020-03-25,101.81948204612728,97.08141693496708,97.0275262947083
2020-03-26,105.14653916740414,100.41550664138798,100.3573059997559
2020-03-27,107.20386601829524,101.98388655662541,101.92830591583255
2020-03-30,107.37536087608333,102.2147961006165,102.15663545989995
2020-03-31,105.54385864830013,100.30536829185489,100.24855765151982
2020-04-01,105.21960726356502,99.88646513557438,99.83334449386601
2020-04-02,107.2756410503387,102.05036136817935,101.99560072708134
2020-04-03,107.27007265281674,102.11665719604495,102.06299655532841
2020-04-06,110.15152145195003,105.38047719955448,105.32186655807499
2020-04-07,107.97011575889584,103.29740259552003,103.23879195404052
2020-04-08,108.40604217720028,103.8230156898499,103.76141505050663
2020-04-09,110.96811783027643,106.32391098403933,106.26084034347537
2020-04-13,110.06165010833735,105.36979215049746,105.30667151069643
2020-04-14,111.08117823982234,106.1030866584778,106.04301601791384
2020-04-15,109.82064366912836,105.07798562431337,105.01242498588564
2020-04-16,109.60627132797235,104.80058036994936,104.73401972770692
2020-04-17,110.73657970046992,105.75946669960024,105.69757605552675
2020-04-20,109.4737723102569,104.58284930419924,104.5178486633301
2020-04-21,108.6082105045318,104.18376052665712,104.11394988632205
2020-04-22,109.62974980735773,104.88592282867434,104.81960218811037
2020-04-23,109.17976383399957,104.29615790939333,104.22909726715089
2020-04-24,109.38772472572322,104.340418674469,104.27437803268434
2020-04-27,110.02381892967219,104.85553818893435,104.79371754837038
2020-04-28,109.89232834053034,104.82942704010011,104.76554639816285
2020-04-29,110.02569143867487,104.49982067108157,104.439440032959
2020-04-30,109.4018510112762,104.06785195922853,104.00783131790163
2020-05-01,108.51417803001398,103.50782273864748,103.44380209732057
2020-05-04,108.73433647346491,103.68500276184083,103.62189212036135
2020-05-05,109.09775457572931,103.95033249664309,103.88905185317995
2020-05-06,108.42115062522882,103.35861173629763,103.29869109725954
2020-05-07,108.48772655105586,103.18725461769105,103.12657397651674
2020-05-08,109.15247567749017,103.68284205818178,103.62558141517641
2020-05-11,107.96085671615594,102.56190109062197,102.50356044578554
2020-05-12,108.353442287445,102.72665228080751,102.67190163612368
2020-05-13,108.83172004890439,103.07851648139956,103.02644583320621
2020-05-14,110.64619261360163,104.93125046730043,104.8792498188019
2020-05-15,110.6879302425384,105.12612368965151,105.07331304359438
2020-05-18,109.32975876045221,103.92636458778384,103.86741394233705
2020-05-19,109.75234116935724,104.31690349388124,104.25964285087588
2020-05-20,110.75609714126583,105.45234134101871,105.39345069694522
2020-05-21,109.88487202262874,104.5296933498383,104.47199270820622
2020-05-22,111.01421887588498,105.59234264564518,105.53513199806217
2020-05-26,109.71070252799984,104.39303149223332,104.33271084785466
2020-05-27,110.42884912300106,105.19102652168277,105.12871587562564
2020-05-28,110.47010615921016,105.02734326362614,104.96472261619571
2020-05-29,111.86525914764401,106.36618769264224,106.30381704521183
2020-06-01,111.85376989936825,106.3575253658295,106.29388472175602
2020-06-02,111.41387858200069,105.97795952034001,105.912778875351
2020-06-03,109.60289145469662,104.30986384010319,104.24129319572452
2020-06-04,108.34631287193295,103.26758739280704,103.19784674644474
2020-06-05,107.48045653152462,102.68337490653995,102.60929426383976
2020-06-08,109.34453767013547,104.48232132148746,104.4067806758881
2020-06-09,109.1024062595367,104.2495089206696,104.17215305709843
2020-06-10,109.19780390548702,104.4268038349152,104.34582637596134
2020-06-11,108.67057581520076,104.95135744667057,104.86043085861209
2020-06-12,108.62825132942196,104.67696071815494,104.58977385330203
2020-06-15,108.68420419311519,104.64529343605045,104.55869778251652
2020-06-16,108.66190599441525,104.28520658302311,104.20438164711003
2020-06-17,108.67811522865291,104.38439222145084,104.30244704818729
2020-06-18,108.67817508888241,104.37817160224918,104.2939064331055
2020-06-19,108.39168797874447,104.01752034187321,103.9342889595032
2020-06-22,108.56521045303342,104.06069350624088,103.97769435310367
2020-06-23,108.49757564735408,103.83704404640201,103.75678989791874
2020-06-24,108.39970557403561,104.21311390876774,104.12764975929264
2020-06-25,108.19614548683163,103.74256551551822,103.65854536056523
2020-06-26,108.22088571929928,104.13684404945377,104.04754990196231
2020-06-29,108.40782563781734,104.19351433753971,104.10597019004825
2020-06-30,108.51476553726192,104.03207310676578,103.94694895744327
