,uniform,onlystocks,sixtyforty,riskparity
1977-08-05,468836.8453118473,125692.28174482391,175981.8046668134,329339.37662111584
1977-08-08,466793.65778463637,123722.50116255392,173676.59485739103,327619.3409934973
1977-08-09,466729.6125732518,123864.19453456912,173536.02409997617,327517.32753102144
1977-08-10,469147.4866166166,126052.25983216273,175242.36423075054,328540.1603914368
1977-08-11,465861.62967013934,124105.52529914257,173577.1489008384,326823.2422098655
1977-08-12,464476.2501403577,123387.70218458978,172847.08276807592,326016.81508082827
1977-08-15,459808.1051528496,124134.21259630346,173473.27281194308,324016.45916357974
1977-08-16,460132.4585917176,122986.55043548171,173189.10258838415,324431.91255761846
1977-08-17,462034.70514923456,123001.94429473269,173690.9128429341,325763.6952834298
1977-08-18,464877.2812172419,122841.18615208051,173785.82243006895,327061.9158482291
1977-08-19,467844.78700421244,122403.90057454152,173551.46682794564,328321.8520133982
1977-08-22,467045.71949191485,123097.08776920228,174530.4970333325,328523.88948404987
1977-08-23,467857.7124740688,122659.37308752102,174497.4354107195,328955.18581205816
1977-08-24,468880.8329171724,121669.6569462033,174205.67009487003,329783.9595886143
1977-08-25,469891.82045756304,118957.30388768546,172540.4704062999,330559.2938033334
1977-08-26,471137.4048723922,118725.17710578593,172755.40326332182,331425.63302212255
1977-08-29,470253.18242940254,120841.3921227213,174324.59796393206,331112.05983856774
1977-08-30,471599.9367565743,119485.35951125807,173048.7652758391,331630.73312353715
1977-08-31,472575.4061218909,120442.7806105401,173785.39891958216,332015.9693401053
1977-09-01,472641.2789641551,120582.57705169753,174346.74863040354,332524.3820925823
1977-09-02,476485.49795106996,122117.03089026692,175767.18938610458,334695.68380763533
1977-09-05,478921.1267196421,122117.03089026692,175924.9095073183,336073.9159524642
1977-09-06,480049.1576771378,122758.91212819134,176329.8855697989,336227.98134184093
1977-09-07,478730.0784743198,123502.92707550981,176814.08909858702,335493.9768593069
1977-09-08,474569.78043906623,121653.52618252285,173899.01009190935,332137.3184022462
1977-09-09,471915.1661351919,119368.08330520708,171844.5548511873,330571.84345122695
1977-09-12,473754.2653710247,118516.39944485051,171431.20543955712,331815.15602521366
1977-09-13,475493.9456709959,118655.07251557599,171887.17748832278,332750.2731010424
1977-09-14,476040.96899735066,119781.61595537473,172898.53078353655,333259.3309140514
1977-09-15,477648.64750128286,120392.36293095331,173510.47141980278,334223.8619280799
1977-09-16,477674.0288813779,119586.89794784825,172975.0394889242,334236.6091683381
1977-09-19,477388.3571004602,118015.76777111932,171197.46806747883,334021.319582767
1977-09-20,478579.95844595646,118104.89610013939,171274.24061263716,334675.02082608297
1977-09-21,480570.36312448734,116149.6600427467,169136.26277646396,335680.4199956846
1977-09-22,479629.89171863673,116116.01322181073,168979.9549297618,335186.3088126901
1977-09-23,478294.9742606138,115984.7104286435,168737.88624314207,334193.4392459284
1977-09-26,483066.0166194523,116805.27578290852,169957.92037790042,337361.8597806228
1977-09-27,482861.6032392683,116453.14403833117,169653.1020982946,337235.46866258583
1977-09-28,482850.24849346315,116615.06935765504,169633.50774531663,337176.1177017009
1977-09-29,485327.9485694943,117927.10950420091,170767.99964585414,338596.59687980387
1977-09-30,485993.96164270025,119590.8483095664,172047.6893041101,339030.36337020487
1977-10-03,489312.4385808527,120101.64547678993,172457.28977525007,340930.95024339115
1977-10-04,488739.28699321765,118329.36159631504,170924.65842569296,340508.2776042408
1977-10-05,486079.66230884264,117457.50396889058,169852.60595208762,338654.6174885581
1977-10-06,484547.75904318166,118356.53605091102,170221.080316425,337679.0776687446
1977-10-07,483116.55646779924,118149.99845735353,169915.98827424218,336590.06026807916
1977-10-10,486473.48211749387,117598.97945555269,169082.6133595787,338694.38302304107
1977-10-11,482059.16345003445,115575.60471962072,166868.4452099073,335927.72488938033
1977-10-12,481909.0777414219,113399.51985822667,164774.09266439299,335868.3521252497
1977-10-13,480847.6542125491,111991.84652391527,164172.91516901713,335351.6745041283
1977-10-14,480689.4466162245,112222.59083783638,163973.17860587212,335209.9751320243
1977-10-17,486941.47394635144,111997.8082411984,163716.1073401536,338854.1548077446
1977-10-18,486239.87671757827,111964.95347329939,163751.24505384316,338517.0030826375
1977-10-19,485879.89987757884,109368.63677922539,161751.6508708896,338258.17191850685
1977-10-20,483226.6172422087,110046.55365846066,162030.13511540502,336516.89546770055
1977-10-21,486022.0186367766,109206.6502375892,161213.57501089654,338179.33608391386
1977-10-24,488056.45906741265,107565.71702604719,159641.93217638365,339317.8900639109
1977-10-25,488127.1308914197,106078.20560480126,158540.78615411307,339435.1229565422
1977-10-26,492176.45582391927,108634.04896295635,160846.17317026336,341954.04699238396
1977-10-27,489390.2964112138,109191.53782996131,161360.40985016729,340266.22158425394
1977-10-28,487362.1642503823,109821.36817971847,161532.08423906635,338683.0161685277
1977-10-31,485085.4382672533,109172.34656255797,160425.0943151241,337247.56052065454
1977-11-01,486618.47283508885,106822.9924309675,158138.18419176742,337572.0447636018
1977-11-02,483860.48959612293,105317.86120976735,156777.36640682543,336745.2998405208
1977-11-03,484625.2810422681,105425.60244475609,156993.06939671544,337170.8667989519
1977-11-04,489466.1078268948,107322.04241094351,158881.50897566625,339364.05090061045
1977-11-07,493697.41006653814,108977.44456542293,160530.23285137396,341492.16383748874
1977-11-08,491136.131962082,109370.22897654114,161128.2636073656,340835.4340890236
1977-11-09,496953.6071475246,110591.64531458987,162389.8189041381,343153.9151670814
1977-11-10,501162.92463684967,114697.82605513172,166364.69660978095,346240.36220375064
1977-11-11,508730.089233528,117764.49071675511,169936.56231668364,349796.9611466025
1977-11-14,506121.791975433,116135.6877475707,168219.80857884616,348735.54433515575
1977-11-15,503473.8409887632,117612.75263189297,169499.8204692935,348293.3719242271
1977-11-16,503715.750472539,116426.53449025529,168479.03738068842,348606.36015847884
1977-11-17,500436.07213415956,115709.91456118297,167874.68197337893,347620.50286812003
1977-11-18,503793.1970594019,116114.1118979705,168203.461540676,348897.1173131721
1977-11-21,501186.76547144953,115910.02702730091,168053.64136044565,348139.94409232
1977-11-22,499964.53206591646,117945.02513918772,170131.75524674356,348114.31124573614
1977-11-23,504542.78203414223,118917.53464036502,170995.00246527366,349755.73854316893
1977-11-24,505166.2452166617,118917.53464036502,171011.17059700162,349943.23746086314
1977-11-25,505454.6611434407,119401.03605543771,171471.1976179412,350369.96790290804
1977-11-28,504619.697030746,117786.35333119112,169797.19010532694,349296.677147759
1977-11-29,501243.20634716045,114122.58535449381,166337.23385110823,347521.4696048018
1977-11-30,500838.42178509827,114789.38660411647,166778.68078900012,347115.0662995314
1977-12-01,501005.09013738396,114441.37607396455,166320.77704548568,346917.84809776855
1977-12-02,499237.8750299628,114383.94560067286,166061.9538138907,346386.8379264781
1977-12-05,497252.3607095148,113408.36664867516,164988.50889301836,345055.2155911666
1977-12-06,496149.8522272802,109935.02226881169,161555.25905163318,343835.0970202085
1977-12-07,495691.0316225336,109807.87651895868,161561.09576427756,343779.30461562524
1977-12-08,497186.43203747773,110225.19108234115,162110.383720219,344735.69939538266
1977-12-09,496478.7040331657,111852.59356935805,163428.0119977923,344572.9524175547
1977-12-12,492946.6474321145,111795.9351934788,163290.03733752668,343593.36082182825
1977-12-13,493258.6724800245,111619.91938134951,163047.119736914,343888.1742565505
1977-12-14,496723.32581742085,112732.40357988105,163823.28331003152,344518.43541006756
1977-12-15,495926.6459150051,111572.63530583272,162891.5478009086,344895.2383843025
1977-12-16,495989.7690306211,111206.01784170234,162243.77809000356,344341.75805553014
1977-12-19,494531.2575706482,109506.64513902468,160249.5687277286,343503.8795137517
1977-12-20,495544.2104976839,109049.05172265983,159937.10772166116,344311.02758214856
1977-12-21,497081.31336877984,110337.07563600007,160869.3513202736,344101.07492750545
1977-12-22,498343.1650896934,112106.81881502777,162257.1924773553,343966.3619576987
1977-12-23,505307.6154281162,114225.11439697776,164097.6757073666,345563.3107744169
1977-12-26,504285.5620639275,114225.11439697776,163770.8221470472,345150.5951337189
1977-12-27,504057.1210769833,114216.04977174995,163567.10842103907,345121.3529945342
1977-12-28,506985.95085207256,114351.712536959,163575.27900096044,345638.2039636178
1977-12-29,510202.78899505717,114801.21295921874,164348.1939179362,347296.47473909054
1977-12-30,510529.7708237761,115178.99961379525,164592.8983826944,346758.2503806887
1978-01-02,509866.0075621477,115178.99961379525,164382.638416956,346491.0875080606
1978-01-03,511052.6602242436,112069.64852597333,161670.20206431043,346630.4377305097
1978-01-04,515998.0585571523,111344.10649843185,161061.14213191695,347726.39158141613
1978-01-05,502412.29458400275,109478.13104578988,159161.50635954863,344104.38907140144
1978-01-06,497981.03030413826,106825.43140834333,154445.9248017879,337529.80672896956
1978-01-09,495960.5170306368,104531.89126070685,152369.1449622962,337273.4734831122
1978-01-10,501550.9583142473,103439.63740430484,151377.9087235918,338087.3616080703
1978-01-11,499989.0138245152,102444.97240103724,150320.99329286415,337782.4794634299
1978-01-12,502932.54354908015,102619.4800137279,151073.28615536925,339568.89225127886
1978-01-13,499711.5359049351,102314.32203202773,150728.57236521196,338912.3649122843
1978-01-16,501377.44490650605,101713.06835065797,150258.19915656705,339399.28546070226
1978-01-17,502265.84460627317,102728.4944350849,151291.18234880222,339797.7313443986
1978-01-18,501144.2437800182,104274.59485297828,152686.2811616491,339792.7168665433
1978-01-19,500811.4183386322,103184.07224783419,151754.96369259193,339739.2248118131
1978-01-20,502375.8875847488,102717.80112210731,151570.9524544361,340815.6586358589
1978-01-23,503394.9628134512,101224.28698926976,150003.74546519486,341170.8996521592
1978-01-24,506363.9869437594,101238.94213975297,149768.48486020573,342540.68938028126
1978-01-25,509211.45170119,101548.48426525055,150296.06306623033,344916.9270404263
1978-01-26,505501.19753144326,99700.28273094649,148724.38710216372,342817.97641727084
1978-01-27,507209.5889173056,99692.37087013664,148916.48797807505,344084.4424698603
1978-01-30,508630.9850241823,101394.94431327934,150646.76688738645,345036.4003320709
1978-01-31,509382.30764705624,101182.64085740197,150209.68468284988,346381.59959875897
1978-02-01,514126.43301915575,102716.27693892136,151677.3333990382,349035.43128179107
1978-02-02,512080.68646216317,103164.94279268903,151992.3357913926,348366.8707175319
1978-02-03,509968.45308186515,101989.37601828291,150678.24524838667,346886.2233292863
1978-02-06,511484.1841672626,101708.17982183286,150600.54308711065,347926.6104214876
1978-02-07,514608.1908519522,103586.3432036543,152232.17815067695,350008.3858565799
1978-02-08,514268.91692488734,104724.75753603612,153128.11051120935,350040.5718413263
1978-02-09,512758.039050942,103494.42175712704,151934.26418548098,349754.20959576254
1978-02-10,514797.34141794103,102981.96754542594,151428.48067360296,351509.82956682204
1978-02-13,515592.2441078577,102470.82562215572,150882.637289322,350835.74073454447
1978-02-14,512793.9188766438,100592.73638481916,148951.7214181984,348404.80121728696
1978-02-15,511771.6269249649,100110.31303507616,148144.93079183166,347286.93533924164
1978-02-16,511947.59440253914,98412.07018140962,146951.3628478938,347117.8594004086
1978-02-17,511523.65250734665,98136.1306102331,146710.79444214652,346563.0257895378
1978-02-20,513592.1086826123,98136.1306102331,146617.22929644876,347136.1519511335
1978-02-21,513673.09720841015,97302.81643101081,145856.81015487248,347456.1829537223
1978-02-22,516645.71265150554,97228.45333493878,146069.3316764162,349780.14773937175
1978-02-23,516868.14357619267,97398.38741670967,146527.12923822674,348896.99033444736
1978-02-24,521101.22025311645,99279.73450829095,148496.99521413198,351117.64075035846
1978-02-27,516074.71681394544,97544.27651552921,146885.30690528825,348445.4172502232
1978-02-28,514645.2676362015,96024.38942714775,145435.86004225566,347721.5372162898
1978-03-01,519696.8504628743,96347.70057189661,145752.35711105165,350750.82803159964
1978-03-02,519348.5030061186,96627.32625055351,146030.32429564433,350596.5156682237
1978-03-03,521620.4331163394,96907.33243492708,146206.56844841616,351334.8667297395
1978-03-06,523568.6781828955,95680.82942734324,145394.16771984892,352561.5744839473
1978-03-07,530762.4927544212,96686.08122096889,146335.73217027925,354962.6231018116
1978-03-08,537968.0721312711,97740.76283034448,147430.74676273824,357480.3305510608
1978-03-09,536239.2974537376,97844.27219116484,147854.30275092248,357621.3197275314
