,uniform,onlystocks,vanillariskparity,sixtyforty
1928-11-05,101.7094,100.0,101.1111,100.00000000000001
1928-11-06,101.7094,100.0,101.1111,100.00000000000001
1928-11-07,101.7094,100.0,101.1111,100.00000000000001
1928-11-08,101.7094,100.0,101.1111,100.00000000000001
1928-11-09,101.7094,100.0,101.1111,100.00000000000001
1928-11-10,101.7094,100.0,101.1111,100.00000000000001
1928-11-11,101.7094,100.0,101.1111,100.00000000000001
1928-11-12,101.7094,100.0,101.1111,100.00000000000001
1928-11-13,101.7094,100.0,101.1111,100.00000000000001
1928-11-14,101.7094,100.0,101.1111,100.00000000000001
1928-11-15,101.7094,100.0,101.1111,100.00000000000001
1928-11-16,101.7094,100.0,101.1111,100.00000000000001
1928-11-17,101.7094,100.0,101.1111,100.00000000000001
1928-11-18,101.7094,100.0,101.1111,100.00000000000001
1928-11-19,101.7094,100.0,101.1111,100.00000000000001
1928-11-20,101.7094,100.0,101.1111,100.00000000000001
1928-11-21,101.7094,100.0,101.1111,100.00000000000001
1928-11-22,101.7094,100.0,101.1111,100.00000000000001
1928-11-23,101.7094,100.0,101.1111,100.00000000000001
1928-11-24,101.7094,100.0,101.1111,100.00000000000001
1928-11-25,101.7094,100.0,101.1111,100.00000000000001
1928-11-26,101.7094,100.0,101.1111,100.00000000000001
1928-11-27,101.7094,100.0,101.1111,100.00000000000001
1928-11-28,101.7094,100.0,101.1111,100.00000000000001
1928-11-29,101.7094,100.0,101.1111,100.00000000000001
1928-11-30,101.7094,100.0,101.1111,100.00000000000001
1928-12-01,101.7094,100.0,101.1111,100.00000000000001
1928-12-02,101.7094,100.0,101.1111,100.00000000000001
1928-12-03,101.7094,100.0,101.1111,100.00000000000001
1928-12-04,101.7094,100.0,101.1111,100.00000000000001
1928-12-05,101.7094,100.0,101.1111,100.00000000000001
1928-12-06,101.7094,100.0,101.1111,100.00000000000001
1928-12-07,101.7094,100.0,101.1111,100.00000000000001
1928-12-08,101.7094,100.0,101.1111,100.00000000000001
1928-12-09,101.7094,100.0,101.1111,100.00000000000001
1928-12-10,101.7094,100.0,101.1111,100.00000000000001
1928-12-11,101.7094,100.0,101.1111,100.00000000000001
1928-12-12,101.7094,100.0,101.1111,100.00000000000001
1928-12-13,101.7094,100.0,101.1111,100.00000000000001
1928-12-14,101.7094,100.0,101.1111,100.00000000000001
1928-12-15,101.7094,100.0,101.1111,100.00000000000001
1928-12-16,101.7094,100.0,101.1111,100.00000000000001
1928-12-17,101.7094,100.0,101.1111,100.00000000000001
1928-12-18,101.7094,100.0,101.1111,100.00000000000001
1928-12-19,101.7094,100.0,101.1111,100.00000000000001
1928-12-20,101.7094,100.0,101.1111,100.00000000000001
1928-12-21,101.7094,100.0,101.1111,100.00000000000001
1928-12-22,101.7094,100.0,101.1111,100.00000000000001
1928-12-23,101.7094,100.0,101.1111,100.00000000000001
1928-12-24,101.7094,100.0,101.1111,100.00000000000001
1928-12-25,101.7094,100.0,101.1111,100.00000000000001
1928-12-26,101.7094,100.0,101.1111,100.00000000000001
1928-12-27,101.7094,100.0,101.1111,100.00000000000001
1928-12-28,101.7094,100.0,101.1111,100.00000000000001
1928-12-29,101.7094,100.0,101.1111,100.00000000000001
1928-12-30,101.7094,100.0,101.1111,100.00000000000001
1928-12-31,101.7094,100.0,101.1111,100.00000000000001
1929-01-01,101.7094,100.0,101.1111,100.00000000000001
1929-01-02,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-03,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-04,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-05,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-06,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-07,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-08,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-09,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-10,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-11,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-12,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-13,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-14,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-15,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-16,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-17,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-18,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-19,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-20,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-21,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-22,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-23,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-24,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-25,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-26,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-27,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-28,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-29,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-30,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-01-31,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-01,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-02,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-03,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-04,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-05,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-06,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-07,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-08,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-09,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-10,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-11,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-12,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-13,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-14,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-15,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-16,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-17,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-18,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-19,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-20,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-21,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-22,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-23,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-24,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-25,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-26,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-27,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-02-28,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-01,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-02,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-03,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-04,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-05,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-06,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-07,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-08,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-09,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-10,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-11,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-12,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-13,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-14,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-15,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-16,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-17,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-18,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-19,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-20,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-21,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-22,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-23,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-24,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-25,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-26,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-27,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-28,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-29,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-30,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-03-31,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-01,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-02,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-03,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-04,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-05,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-06,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-07,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-08,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-09,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-10,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-11,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-12,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-13,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-14,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-15,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-16,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-17,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-18,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-19,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-20,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
