,vanillariskparity,riskparity_nested,sixtyforty,riskparity,uniform
2002-06-18,100.0,100.0,100.0,100.0,100.0
2002-06-19,100.0,100.0,100.0,100.0,100.0
2002-06-20,100.0,100.0,100.0,100.0,100.0
2002-06-21,100.0,100.0,100.0,100.0,100.0
2002-06-24,100.0,100.0,100.0,100.0,100.0
2002-06-25,100.0,100.0,100.0,100.0,100.0
2002-06-26,100.0,100.0,100.0,100.0,100.0
2002-06-27,100.0,100.0,100.0,100.0,100.0
2002-06-28,100.0,100.0,100.0,100.0,100.0
2002-07-01,100.0,100.0,100.0,100.0,100.0
2002-07-02,100.0,100.0,100.0,100.0,100.0
2002-07-03,100.0,100.0,100.0,100.0,100.0
2002-07-05,100.0,100.0,100.0,100.0,100.0
2002-07-08,100.0,100.0,100.0,100.0,100.0
2002-07-09,100.0,100.0,100.0,100.0,100.0
2002-07-10,100.0,100.0,100.0,100.0,100.0
2002-07-11,100.0,100.0,100.0,100.0,100.0
2002-07-12,100.0,100.0,100.0,100.0,100.0
2002-07-15,100.0,100.0,100.0,100.0,100.0
2002-07-16,100.0,100.0,100.0,100.0,100.0
2002-07-17,100.0,100.0,100.0,100.0,100.0
2002-07-18,100.0,100.0,100.0,100.0,100.0
2002-07-19,100.0,100.0,100.0,100.0,100.0
2002-07-22,100.0,100.0,100.0,100.0,100.0
2002-07-23,100.0,100.0,100.0,100.0,100.0
2002-07-24,100.0,100.0,100.0,100.0,100.0
2002-07-25,100.0,100.0,100.0,100.0,100.0
2002-07-26,100.0,100.0,100.0,100.0,100.0
2002-07-29,100.0,100.0,100.0,100.0,100.0
2002-07-30,100.0,100.0,100.0,100.0,100.0
2002-07-31,100.0,100.0,100.0,100.0,100.0
2002-08-01,100.0,100.0,100.0,100.0,100.0
2002-08-02,100.0,100.0,100.0,100.0,100.0
2002-08-05,100.0,100.0,100.0,100.0,100.0
2002-08-06,100.0,100.0,100.0,100.0,100.0
2002-08-07,100.0,100.0,100.0,100.0,100.0
2002-08-08,100.0,100.0,100.0,100.0,100.0
2002-08-09,100.0,100.0,100.0,100.0,100.0
2002-08-12,100.0,100.0,100.0,100.0,100.0
2002-08-13,100.0,100.0,100.0,100.0,100.0
2002-08-14,100.0,100.0,100.0,100.0,100.0
2002-08-15,100.0,100.0,100.0,100.0,100.0
2002-08-16,100.0,100.0,100.0,100.0,100.0
2002-08-19,100.0,100.0,100.0,100.0,100.0
2002-08-20,100.0,100.0,100.0,100.0,100.0
2002-08-21,100.0,100.0,100.0,100.0,100.0
2002-08-22,100.0,100.0,100.0,100.0,100.0
2002-08-23,100.0,100.0,100.0,100.0,100.0
2002-08-26,100.0,100.0,100.0,100.0,100.0
2002-08-27,100.0,100.0,100.0,100.0,100.0
2002-08-28,100.0,100.0,100.0,100.0,100.0
2002-08-29,100.0,100.0,100.0,100.0,100.0
2002-08-30,100.0,100.0,100.0,100.0,100.0
2002-09-03,100.0,100.0,100.0,100.0,100.0
2002-09-04,100.0,100.0,100.0,100.0,100.0
2002-09-05,100.0,100.0,100.0,100.0,100.0
2002-09-06,100.0,100.0,100.0,100.0,100.0
2002-09-09,100.0,100.0,100.0,100.0,100.0
2002-09-10,100.0,100.0,100.0,100.0,100.0
2002-09-11,100.0,100.0,100.0,100.0,100.0
2002-09-12,100.0,100.0,100.0,100.0,100.0
2002-09-13,100.0,100.0,100.0,100.0,100.0
2002-09-16,100.0,100.0,100.0,100.0,100.0
2002-09-17,100.0,100.0,100.0,100.0,100.0
2002-09-18,100.0,100.0,100.0,100.0,100.0
2002-09-19,100.0,100.0,100.0,100.0,100.0
2002-09-20,100.0,100.0,100.0,100.0,100.0
2002-09-23,100.0,100.0,100.0,100.0,100.0
2002-09-24,100.0,100.0,100.0,100.0,100.0
2002-09-25,100.0,100.0,100.0,100.0,100.0
2002-09-26,100.0,100.0,100.0,100.0,100.0
2002-09-27,100.0,100.0,100.0,100.0,100.0
2002-09-30,100.0,100.0,100.0,100.0,100.0
2002-10-01,100.0,100.0,100.0,100.0,100.0
2002-10-02,100.0,100.0,100.0,100.0,100.0
2002-10-03,100.0,100.0,100.0,100.0,100.0
2002-10-04,100.0,100.0,100.0,100.0,100.0
2002-10-07,100.0,100.0,100.0,100.0,100.0
2002-10-08,100.0,100.0,100.0,100.0,100.0
2002-10-09,100.0,100.0,100.0,100.0,100.0
2002-10-10,100.0,100.0,100.0,100.0,100.0
2002-10-11,100.0,100.0,100.0,100.0,100.0
2002-10-14,100.0,100.0,100.0,100.0,100.0
2002-10-15,100.0,100.0,100.0,100.0,100.0
2002-10-16,100.0,100.0,100.0,100.0,100.0
2002-10-17,100.0,100.0,100.0,100.0,100.0
2002-10-18,100.0,100.0,100.0,100.0,100.0
2002-10-21,100.0,100.0,100.0,100.0,100.0
2002-10-22,100.0,100.0,100.0,100.0,100.0
2002-10-23,100.0,100.0,100.0,100.0,100.0
2002-10-24,100.0,100.0,100.0,100.0,100.0
2002-10-25,100.0,100.0,100.0,100.0,100.0
2002-10-28,100.0,100.0,100.0,100.0,100.0
2002-10-29,100.0,100.0,100.0,100.0,100.0
2002-10-30,100.0,100.0,100.0,100.0,100.0
2002-10-31,100.0,100.0,100.0,100.0,100.0
2002-11-01,100.0,100.0,100.0,100.0,100.0
2002-11-04,100.0,100.0,100.0,100.0,100.0
2002-11-05,100.0,100.0,100.0,100.0,100.0
2002-11-06,100.0,100.0,100.0,100.0,100.0
2002-11-07,100.0,100.0,100.0,100.0,100.0
2002-11-08,100.0,100.0,100.0,100.0,100.0
2002-11-11,100.0,100.0,100.0,100.0,100.0
2002-11-12,100.0,100.0,100.0,100.0,100.0
2002-11-13,100.0,100.0,100.0,100.0,100.0
