,riskparity_nested,riskparity,riskparity_pylib
2020-06-15,95.73688845386513,95.7096254409791,95.7124594915391
2020-06-16,95.17222736072547,95.35854710998544,95.36221530284891
2020-06-17,95.46357574539194,95.64271468219766,95.6462508289338
2020-06-18,96.21111290855417,96.39669898014077,96.39995112648019
2020-06-19,96.02662984542856,96.27603465480813,96.27955755691538
2020-06-22,96.49791983013162,96.80046348228464,96.80395283145913
2020-06-23,96.4210776348115,96.83164831676493,96.83562266845712
2020-06-24,96.10722027378091,96.28675681648264,96.28988516712198
2020-06-25,96.16366416511545,96.5057656179429,96.50913476638803
2020-06-26,96.28169769496927,96.34059631996165,96.34314267063151
2020-06-29,97.10129656963358,97.18948809700024,97.19189644718182
2020-06-30,97.68032413997659,97.89366778411878,97.89603013591778
2020-07-01,97.93657600631722,98.15713360252393,98.15953395404827
2020-07-02,98.61360674667367,98.87981838722241,98.88216673831951
2020-07-06,98.64574811439523,99.24272068214428,99.24502503376019
2020-07-07,99.17297185993203,99.68088336219797,99.68341971378337
2020-07-08,99.48113590469367,100.06346047782908,100.06594282932292
2020-07-09,100.2997890899659,100.97547361946117,100.97823797016154
2020-07-10,100.57533117370615,101.2551930534364,101.25791340541852
2020-07-13,100.28570999431619,100.74887908706678,100.75162943859114
2020-07-14,100.98042226085671,101.49391073799147,101.49671108875287
2020-07-15,100.74528145771036,101.36083373451247,101.36350608539594
2020-07-16,101.30864915351877,101.75105167465223,101.75383002529158
2020-07-17,101.74302707366952,102.06056870117199,102.06333705272687
2020-07-20,102.39296060695658,103.06160313529982,103.0643794870378
2020-07-21,102.51119162521371,103.08565668678295,103.08840903720868
2020-07-22,103.42854327316296,103.93794180450453,103.94075815563215
2020-07-23,103.25717116794598,103.46650580749525,103.46958015880598
2020-07-24,102.6737652645112,102.83308981132521,102.83620616245283
2020-07-27,102.19186428699506,102.6138858245851,102.61688417644514
2020-07-28,103.11669072952283,103.29110561370862,103.29424396495833
2020-07-29,103.9244287492753,104.21210333061232,104.21513568134321
2020-07-30,104.50567642707837,104.81208897666944,104.81523932743086
2020-07-31,105.03792058963788,105.50101314926161,105.50413950023665
