,sixtyforty,riskparity
2018-05-16,141.11384095001216,140.641328666687
2018-05-17,140.90198448944088,140.22955819702148
2018-05-18,140.92825897979736,140.64894695281987
2018-05-21,141.57710694122312,141.2158303604126
2018-05-22,151.29787796783444,150.9106008377075
2018-05-23,151.73333061981197,151.6128436126709
2018-05-24,151.78267449188232,152.02768890380864
2018-05-25,151.75647896575927,152.2998534851075
2018-05-29,151.40590752410893,153.0476496582031
2018-05-30,152.32761162567138,153.4931728515625
2018-05-31,151.76058777618408,152.9391287765503
2018-06-01,152.43569535064694,153.24962113189693
2018-06-04,152.6327004318237,153.067950805664
2018-06-05,152.76166313934323,153.28741996765137
2018-06-06,153.24588898468014,153.30630249786373
2018-06-07,153.5106804733276,153.98597920227044
2018-06-08,153.67993935394284,153.98424443054193
2018-06-11,153.74257782745357,153.94903247833247
2018-06-12,153.8617310409546,154.0606974639893
2018-06-13,153.57057846832276,153.79313614654546
2018-06-14,154.02429207611084,154.56719873046882
2018-06-15,153.939922416687,154.54040080261237
2018-06-18,153.73558281707764,154.32557128906257
2018-06-19,153.57122887420655,154.46684698486328
2018-06-20,153.46543320465085,153.95608222198487
2018-06-21,163.07504814910885,163.8803013458252
2018-06-22,163.22889374542237,164.00507093048097
2018-06-25,162.12463387298587,163.18844668579106
2018-06-26,162.3853633346558,163.48376956176764
2018-06-27,161.8839246063233,163.57625842285162
2018-06-28,162.44420169067388,164.059920288086
2018-06-29,162.47156396484374,163.89377301025397
2018-07-02,162.65402047729492,164.00400891113281
2018-07-03,162.4843071899414,164.15490530395513
2018-07-05,163.37080303192138,165.05673602294928
2018-07-06,164.30660311889648,166.02249954223643
2018-07-09,164.9838285446167,166.2343134155274
2018-07-10,165.33971566772462,166.52843200683603
2018-07-11,164.73439685058594,166.23257626342783
2018-07-12,165.63181227111815,166.98111764526377
2018-07-13,165.7939429321289,167.25705758667002
2018-07-16,165.56734020996095,166.83677108764658
2018-07-17,165.910807472229,167.02120858764658
2018-07-18,165.99080065917968,166.86721694946297
2018-07-19,165.81744800567628,167.06921740722663
2018-07-20,165.29990982818603,165.95805688476568
2018-07-23,175.086272064209,175.10641885375983
2018-07-24,175.70201179504394,175.8081347351075
2018-07-25,176.51164022064208,176.40178955078133
2018-07-26,176.209590675354,176.0445359191895
2018-07-27,175.57479447174072,175.60210424804694
2018-07-30,174.93754505157472,174.88234588623044
2018-07-31,175.60695655059814,175.73738720703125
2018-08-01,175.1765458679199,174.9361708984375
2018-08-02,175.77098193359367,175.51186688232417
2018-08-03,176.3636748428344,176.2760620422363
2018-08-06,176.75546955108635,176.63649319458005
2018-08-07,176.92568801116937,176.49893966674796
2018-08-08,176.9169056930542,176.55108142089836
2018-08-09,177.07003900909416,177.1739387817382
2018-08-10,176.6203812866211,177.231104522705
2018-08-13,176.15252449035646,176.71814434814445
2018-08-14,176.7400802459716,177.0729800720214
2018-08-15,176.16187434387206,176.93900665283195
2018-08-16,177.00500784301758,177.63519610595696
2018-08-17,177.42078047943116,178.05529327392577
2018-08-20,177.88842951202392,178.8455546875
2018-08-21,188.01494042205812,188.7475983581543
2018-08-22,188.09483159637452,189.05188024902353
2018-08-23,188.01040338897704,189.0758262939453
2018-08-24,188.72018641662598,189.78500427246092
2018-08-27,189.35410604095458,189.9653214111328
2018-08-28,189.18860972595215,189.4659582519531
2018-08-29,189.81519793701173,190.0663168334961
2018-08-30,189.45474486541747,189.89540313720704
2018-08-31,189.37502769470208,189.69036099243158
2018-09-04,188.98112190246576,189.01614132690423
2018-09-05,188.5961093902587,188.53703152465812
2018-09-06,188.40462291717523,188.59632031249993
2018-09-07,187.89229814147942,187.6637009277343
2018-09-10,188.20918939971915,188.1457361145019
2018-09-11,188.29007486724853,187.7610754699707
2018-09-12,188.39964564514153,187.99124404907218
2018-09-13,189.08796527099602,188.65305953979484
2018-09-14,188.93636192321776,188.24389828491212
2018-09-17,188.36485386657714,187.7686286315918
2018-09-18,188.57733408355713,187.32950244140625
2018-09-19,188.48337979888916,186.9037296142578
2018-09-20,189.57194467926024,188.09160340881348
2018-09-21,199.45188507843017,197.96569862365723
2018-09-24,198.97759702301025,197.41357662963867
2018-09-25,198.833809425354,197.23066946411132
2018-09-26,198.75968637847902,197.60736058044432
2018-09-27,199.1007450637818,197.93191401672362
2018-09-28,199.0124157180787,197.6933624267578
2018-10-01,199.12786417388924,197.3289710998535
2018-10-02,199.29117612457281,197.8439363708496
2018-10-03,198.6972845840454,196.26664622497557
2018-10-04,197.54803702545166,194.88346966552734
2018-10-05,196.60074851226807,193.57617013549805
2018-10-08,196.47791696929932,193.27128469848634
2018-10-09,196.68297367095948,194.0509087829589
2018-10-10,193.04101346588135,190.87560877990714
2018-10-11,191.10128992462157,190.0114654083251
2018-10-12,192.44317194366454,190.90616738891595
2018-10-15,191.82373651885987,190.36755908203116
2018-10-16,194.24300345611573,192.50577717590323
2018-10-17,194.04264682769775,191.97624678039543
2018-10-18,192.45344660186768,190.64168023681634
2018-10-19,192.31426648712159,190.39286517333977
2018-10-22,191.78312244415275,189.87367378234856
2018-10-23,201.35463498687736,199.71231465148918
2018-10-24,198.40614432525635,197.7362818145751
2018-10-25,200.1035871047973,198.88197250366198
2018-10-26,198.4779064102172,197.9079703826903
2018-10-29,197.82174910736077,197.2266400604247
2018-10-30,199.1592706680297,198.0267494354247
2018-10-31,200.08491565704338,198.48116300964347
2018-11-01,201.39863962554924,199.62725624084464
2018-11-02,200.18285680389397,197.79962342834466
2018-11-05,201.00307344818108,198.73393916320794
2018-11-06,201.74523900604237,199.3058574066161
2018-11-07,204.40913683319081,201.5930889739989
2018-11-08,204.17952793121327,201.39766169738758
2018-11-09,203.26143830108632,201.13033226013172
2018-11-12,201.22197086334216,199.87864311218252
2018-11-13,200.97118192291248,199.63067082214343
2018-11-14,200.17137522125233,199.01115782165516
2018-11-15,201.40379651641834,199.9995773773192
2018-11-16,201.95148786163318,200.83739027404775
2018-11-19,200.01201903533925,199.42290312194814
2018-11-20,197.81858365631092,197.63512913513173
2018-11-21,208.2034178390502,207.92952653503406
2018-11-23,207.46114960479724,207.3867287750243
2018-11-26,209.2533434524535,208.7146662750243
2018-11-27,209.69819663238513,209.15794007873524
2018-11-28,212.24001653289784,210.92956742858877
2018-11-29,212.13290377044666,211.10402177429188
2018-11-30,213.02496276092518,212.09183482360828
2018-12-03,214.9319999923705,214.14489515686023
2018-12-04,211.60660820770252,212.5350888519286
2018-12-06,211.5557629318236,212.70979478454578
2018-12-07,208.85418744659412,210.60788755798328
2018-12-10,209.24920256805407,211.2210048828124
2018-12-11,209.26871309661854,211.22540319824208
2018-12-12,209.6707609786986,211.24701771545398
2018-12-13,209.5318085098265,210.96832456970196
2018-12-14,207.50476976776105,209.5346672668456
2018-12-17,205.30830602264385,208.0912985534667
2018-12-18,205.42445432281477,208.60934907531728
2018-12-19,204.1561506881712,208.47386779785145
2018-12-20,202.05054792022688,206.4410213470458
