,GLD_LNG,OIL_LNG,EQ_LNG,US10YB_LNG,RE_LNG,LTB_LNG
1962-01-01,1.8551869404946617,4.531249999999647,78.29863892642636,4.6331540513472484,29.742494792189323,4.440287612274348
1963-01-01,1.8478146392834733,4.51562499999965,95.56083854433987,4.694069601754091,31.55894004937113,4.412545639852108
1964-01-01,1.8483412322271147,4.499999999999626,111.3953096971457,4.8582981993536825,33.6572463037467,4.634316928679241
1965-01-01,1.8493944181144046,4.468749999999643,125.31309037110086,4.877350257036888,35.832596443637094,4.611740576652177
1966-01-01,1.84992101105801,4.499999999999667,115.02629684245817,5.107410634147204,38.27443086719614,4.8146571609253845
1967-01-01,1.8404423380722255,4.5624999999996305,138.91408937319136,4.899703926799821,40.80997033256805,4.568368929563065
1968-01-01,2.070036861505523,4.593749999999528,159.71476158746768,4.971431372237749,44.16500408305623,4.562925766415157
1969-01-01,2.1737756714054233,4.828124999999466,141.37380840942433,4.602352187658959,49.45832700841432,4.310324250122419
1970-01-01,1.8967877830432056,4.968749999999476,144.60130848721718,5.622938035678054,56.13175306001709,4.922172064092912
1971-01-01,2.139020537124176,5.296874999999333,164.1758778991034,6.291366138141772,62.22695329670732,5.80642579560032
1972-01-01,3.0763559768290176,5.296874999999333,199.73600623127695,6.382148160257798,68.09321094379597,6.128835208490198
1973-01-01,5.128488678250203,6.078124999999198,166.8603108698146,6.515636971614251,73.19926948770248,5.893896521236104
1974-01-01,8.109531332277864,10.734374999998392,124.41462573594065,6.678826253776115,82.8964106033666,6.044458781653278
1975-01-01,8.470774091624648,11.984374999998337,171.36459112765792,6.958478040939957,96.32568598226975,6.437924266969084
1976-01-01,6.568720379144965,12.796874999998463,210.1003294511367,8.150189862576886,108.7668691876381,7.554167278602386
1977-01-01,7.78515007898673,13.390624999998312,197.63879121691,8.057186068083425,127.72158115758916,7.660340682250182
1978-01-01,10.184307530276003,14.062499999998046,213.14317630032866,7.766762248990052,152.67682124956974,7.4332026709276215
1979-01-01,16.113744075824677,19.749999999996778,251.59809897165826,7.6850136464655145,181.42959758493438,7.315043706164545
1980-01-01,32.38546603474529,33.73437499999459,325.9572394527115,7.203682554564441,205.24003052805085,7.085096903042558
1981-01-01,24.223275408101824,49.64062499999167,318.46144389463547,7.124297651405662,226.39395345241883,7.080373504745324
1982-01-01,19.799894681404894,44.562499999992696,376.26296559680986,11.434923504759459,246.1345618039952,9.65348830600555
1983-01-01,22.327540810946505,40.921874999993186,462.87902270599403,11.272974724064147,269.4385518809095,9.776013344384623
1984-01-01,19.010005265923617,40.43749999999332,484.36178906005114,12.864892320592377,296.6076941930174,11.241421179598843
1985-01-01,16.692996313844187,37.64062499999378,633.6453267435936,18.011916681871824,329.30442624024056,14.538843287329062
1986-01-01,19.378620326481215,19.546874999996806,785.1944589126227,22.65522015510563,371.2347065583447,18.31409647354013
1987-01-01,23.538704581350984,24.062499999995723,789.0162018399769,21.48664481488758,416.58008147336994,17.74374318734048
1988-01-01,23.01211163769628,19.656249999996454,937.1613629963666,22.70193538185243,462.30776042489396,19.068609298088194
1989-01-01,20.063191153232022,24.781249999995577,1219.021540613009,27.54361553198452,512.4577794773293,22.550434050554664
1990-01-01,20.19536598208964,31.2968749999942,1191.885547793855,29.330554579899463,556.5940845716517,23.775117493630063
1991-01-01,19.06845708266909,25.84374999999524,1452.777051382309,35.79667391832967,597.8623737645685,27.831332794675166
1992-01-01,18.105318588725368,24.984374999995087,1675.3434922270392,38.16131753660409,647.6184701918735,29.863020058826795
1993-01-01,18.94523433385387,22.265624999995794,1840.2858357363696,44.13221211519163,698.39401701964,34.473731695168624
1994-01-01,20.221169036328753,20.609374999996195,1849.8042153317979,39.94495518588832,754.864213823117,31.861141869253128
1995-01-01,20.21011058451205,22.84374999999571,2553.5336364356326,53.35112526051982,819.5551585782194,41.148664792507525
1996-01-01,20.421800947861062,28.84374999999383,3150.107446877358,52.55627502696733,893.1684740941464,40.60694473259044
