,uniform,onlystocks,sixtyforty,riskparity
2017-11-06,767185.9913408214,1508130.975148194,1593652.6136548598,526095.4957544137
2017-11-07,765973.8531657992,1507797.4354295437,1591798.2752391302,525604.072799745
2017-11-08,765900.1599860489,1509944.0020933652,1591147.6895510138,525868.1686238007
2017-11-09,762306.1421411469,1504575.562025963,1580334.9137143004,524224.28330928646
2017-11-10,761995.7708395552,1503709.155962079,1580537.6547405822,523866.1838937077
2017-11-13,762429.4698573723,1505163.656978242,1584312.3620237794,523997.208791674
2017-11-14,762018.7922088417,1501862.4804984916,1588011.3606307593,523573.6389945081
2017-11-15,760402.463614719,1493848.140898618,1580285.314554446,522431.8956761545
2017-11-16,761332.409448377,1506523.2210401646,1589546.6018158314,523541.98780452786
2017-11-17,763611.624258247,1502563.6939843844,1586595.0566600082,523797.79203496536
2017-11-20,764347.8165174117,1504470.009994465,1590414.173860512,523924.1260812237
2017-11-21,766877.8518789627,1514274.958738942,1599189.2658354836,525883.9973218048
2017-11-22,767925.4178886836,1513213.7001460914,1596727.854012349,526250.204462161
2017-11-23,768316.3422937772,1513213.7001460914,1596727.854012349,526397.8809231129
2017-11-24,769436.7472886158,1516337.992510672,1598696.1582020347,526982.3952574597
2017-11-27,769152.4203964727,1515866.572491234,1598015.8206772988,526706.4467378394
2017-11-28,767600.4461133006,1530794.627266152,1602397.8166012552,527203.8074574638
2017-11-29,764628.6494770269,1530367.5569099234,1600002.3308965818,525779.9224753443
2017-11-30,768282.4876604631,1543407.9487796037,1615525.083861576,527714.1256764974
2017-12-01,768598.9597519904,1540286.423958681,1612100.1119766538,527395.5857752864
2017-12-04,767702.5795837509,1538640.8447040028,1614521.2551752378,526767.8976122681
2017-12-05,766796.3345795883,1532897.7075078916,1612628.5487957601,526253.7473620349
2017-12-06,760903.4328567298,1532701.0925349589,1606945.0582008353,524309.7460051366
2017-12-07,761079.883532038,1537403.8525333342,1609957.759176808,524653.9780519434
2017-12-08,762822.4627903586,1545969.7958829007,1615576.5930479525,525671.2099867228
2017-12-11,763496.9375777306,1550866.1734367856,1617541.7221827148,526134.0188154619
2017-12-12,763788.6982169473,1553263.3846486318,1624441.648333655,526661.4636496597
2017-12-13,763937.9376638738,1552521.4467433554,1625976.0204454707,526537.5475338728
2017-12-14,766163.7372320575,1546408.3348706327,1623705.6324628426,526940.5336722579
2017-12-15,765797.0948157777,1560307.3555394101,1627151.5425854528,527763.790438469
2017-12-18,764125.2760464862,1568678.899536945,1624500.4096446782,527733.0599960706
2017-12-19,761705.6859397528,1563577.2530736176,1615981.5842722014,526737.3622862931
2017-12-20,765146.4117746097,1562428.0545028627,1619259.5952602956,527709.6749978721
2017-12-21,766024.9677757327,1565470.418699914,1621013.6201111937,528062.4252795079
2017-12-22,767492.5085871769,1564701.1709583562,1622620.906745463,528511.9395959051
2017-12-25,767480.542783824,1564701.1709583562,1622620.906745463,528506.2894231305
2017-12-26,773380.4372251884,1563061.4096197826,1628281.0328301168,530243.9006187033
2017-12-27,774830.6156655235,1564347.4191127976,1627814.2391220282,531136.2438745245
2017-12-28,778370.5229201358,1567452.037186795,1631834.8784558922,533041.3742972626
2017-12-29,775055.4440887199,1559366.4913644844,1619481.9113695,531505.0592974748
2018-01-01,775043.1712310956,1559366.4913644844,1619481.9113695,531499.2757216173
2018-01-02,780178.9705293038,1572323.4928270709,1630094.3059061232,534556.8574500263
2018-01-03,782920.6605861374,1582324.5096683633,1635981.1083245003,535779.8468783908
2018-01-04,782566.9037533205,1588966.09265392,1637619.8516697215,535913.9776664868
2018-01-05,782378.038304266,1600078.1532381442,1644351.8476560311,536563.8835576484
2018-01-08,779589.2483192112,1602705.2154024348,1638851.3445481432,535892.2725805629
2018-01-09,780241.0702320677,1605209.2716230766,1640019.1435363507,535750.0603081549
2018-01-10,783140.2970943153,1603374.360759771,1641473.3357647655,536950.5884905446
2018-01-11,785278.4286591752,1614714.405813696,1649193.107201038,537962.4144844664
2018-01-12,788266.1516182165,1625554.253569802,1657454.6806291533,539411.007809316
2018-01-15,789782.7956198932,1625554.253569802,1657454.6806291533,540427.3796697501
2018-01-16,786942.6559677812,1619792.7833356257,1652176.8455488458,538783.9743165504
2018-01-17,787500.0923801534,1634975.9823849904,1657891.9862966968,539751.7203172983
2018-01-18,785765.3135425724,1632416.6193365073,1653766.1678199372,538810.038939432
2018-01-19,784955.8812617832,1639549.8899015135,1656467.1887616562,538905.1569489746
2018-01-22,788086.9169025943,1652736.5768035152,1667730.1469858228,540619.333706484
2018-01-23,788103.5017547641,1656332.0006179365,1666527.8107997288,540759.5854247627
2018-01-24,795094.6459081956,1655341.5877735084,1671846.3092174015,543358.8620523908
2018-01-25,793411.2698633142,1656279.3393049114,1668657.6305097158,542501.2166165344
2018-01-26,794398.0242005675,1675853.9718465095,1677119.4888342975,543562.0658678939
