,customweights,benchmark
1989-02-08,108710.6258671621,120091.30694799998
1989-02-09,108126.76217249696,119079.97729799998
1989-02-10,106689.52081628708,117493.52270199999
1989-02-13,106333.01208047435,117759.86385999998
1989-02-14,106118.16353787348,117497.386562
1989-02-15,106768.93273417874,118485.54579
1989-02-16,107309.69444231542,118717.13613999999
1989-02-17,107482.2137538156,119539.31806999998
1989-02-20,107681.30446730164,119539.31806999998
1989-02-21,107374.7744371819,119230.52270199999
1989-02-22,107157.30635469727,117196.30694799998
1989-02-23,107824.98093752026,117686.52270199999
1989-02-24,107203.22941074306,115706.341158
1989-02-27,107919.89081909253,116022.86385999998
1989-02-28,107760.72583848653,116459.04579
1989-03-01,107508.75463232481,115787.397684
1989-03-02,108446.14154552454,116945.397684
1989-03-03,108841.95798628515,117443.341158
1989-03-06,109634.28975274622,118937.159228
1989-03-07,109734.57919690196,118570.46617599999
1989-03-08,110269.12081483017,118659.23845599999
1989-03-09,109370.79610173404,118647.659228
1989-03-10,109625.7405083978,118230.784246
1989-03-13,110588.00120201653,119226.659228
1989-03-14,110966.08409605101,119161.04579
1989-03-15,111536.58731894486,119786.36385999998
1989-03-16,110795.18664146264,120905.76154400002
1989-03-17,110057.74885083582,118188.31806999998
1989-03-20,109484.8935728066,117072.784246
1989-03-21,110388.28601328003,117644.056912
1989-03-22,110220.48981298522,117304.386562
1989-03-23,110225.28362157804,116694.5
1989-03-24,110222.02948985432,116694.5
1989-03-27,110972.6101289523,117412.46617599999
1989-03-28,110444.26298546333,117829.341158
1989-03-29,110178.02189888299,118138.13613999999
1989-03-30,110767.83565905204,118223.056912
1989-03-31,111458.03962081995,119172.62540399999
1989-04-03,112003.11692375448,119817.23845599999
1989-04-04,112427.29781935595,119435.102316
1989-04-05,111458.76381009899,119813.386562
1989-04-06,110837.82675296394,119431.23845599999
1989-04-07,110994.83150874532,120183.943474
1989-04-10,111741.86556513334,120180.07961399999
1989-04-11,112420.0670710957,120739.784246
1989-04-12,112760.36118611292,120944.36385999998
1989-04-13,113264.87927781194,119906.02270199999
1989-04-14,113886.87448299314,121913.22772
1989-04-17,115281.83418162409,122067.62540399999
1989-04-18,115755.49313547966,123816.20463199998
1989-04-19,115594.63739521506,124275.54579
1989-04-20,115918.00712382002,123889.54579
1989-04-21,116804.14618908225,125271.42038599998
1989-04-24,116049.05254100933,124924.02270199999
1989-04-25,116771.92855012254,124159.73845599999
1989-04-26,116758.734541212,124256.23845599999
1989-04-27,117324.11066456595,125329.31806999998
1989-04-28,115640.46481403176,125356.341158
1989-05-01,116350.39510690226,125182.63613999999
1989-05-02,115610.16517548329,124808.22772
1989-05-03,115889.02532915218,124846.81806999998
1989-05-04,116728.98497053726,124761.897684
1989-05-05,115601.82893215452,124734.886562
1989-05-08,114484.27723315549,124136.57961399999
1989-05-09,114190.08184021038,123881.81806999998
1989-05-10,114775.03625037106,124136.57961399999
1989-05-11,116886.27662980677,124611.36385999998
1989-05-12,117643.83500026842,127413.72772
1989-05-15,117557.16099166438,128405.73845599999
1989-05-16,117345.82723447403,128123.96617599999
1989-05-17,116857.60477636395,129019.47729799998
1989-05-18,117041.8849241047,129231.784246
1989-05-19,117613.33371428841,130563.47729799998
1989-05-22,116504.88989611133,130899.30694799998
1989-05-23,116808.94403203495,129413.20463199998
1989-05-24,117130.44735844948,129764.46617599999
1989-05-25,117422.49113262558,129806.92038599998
1989-05-26,118245.13062117164,130829.81806999998
1989-05-29,118241.66554256686,130829.81806999998
1989-05-30,117837.5354464052,129826.22772
1989-05-31,117988.51254667013,130424.52270199999
1989-06-01,119087.90614378022,131026.68192999999
1989-06-02,120595.0173676284,132474.18193
1989-06-05,121073.51395279958,131076.86385999998
1989-06-06,121337.06760915444,132010.97729799998
1989-06-07,122247.98452665226,133114.943474
1989-06-08,123009.87534298055,133033.886562
1989-06-09,121842.2737857585,133057.04579
1989-06-12,119549.68483209639,132887.20463199998
1989-06-13,119105.87908758983,131945.36385999998
1989-06-14,119441.87289443528,131918.341158
1989-06-15,119041.82463609643,130393.63613999999
1989-06-16,119490.69079276084,130910.886562
1989-06-19,120417.25237800428,131150.20463199998
1989-06-20,120217.40589294315,130899.30694799998
1989-06-21,120404.41022863222,130586.63613999999
1989-06-22,122265.60885754609,131744.63614
1989-06-23,123707.94018248335,133647.625404
1989-06-26,124941.33737749673,133157.397684
1989-06-27,125537.8590440607,133910.102316
1989-06-28,124630.80553641572,132856.31806999998
1989-06-29,124464.21803220874,130358.897684
1989-06-30,123904.64676997473,129687.26154400002
1989-07-03,124238.50028975535,130231.52270199999
1989-07-04,124472.48711792524,130231.52270199999
1989-07-05,126403.32155338988,130822.102316
1989-07-06,126380.116541721,131211.966176
1989-07-07,126878.35692815375,132582.26154400004
1989-07-10,126931.50379657604,133477.784246
1989-07-11,126640.60329460414,134176.443474
1989-07-12,126803.49164936888,134601.04579
1989-07-13,126688.9043729609,134655.079614
1989-07-14,126380.61429414725,135442.522702
1989-07-17,126155.26289668582,135701.13614
1989-07-18,126322.12281954043,135264.966176
1989-07-19,127292.83786846575,137052.13614
1989-07-20,126822.5759206966,136145.04579
1989-07-21,127291.46986975636,137121.625404
1989-07-24,126396.75974978248,136237.68193
1989-07-25,125979.60303557593,136334.18193
1989-07-26,127263.25627507333,138048.022702
1989-07-27,128654.16792802038,139680.80694799998
1989-07-28,128070.75753526138,139750.284246
1989-07-31,129261.73444080303,141390.784246
1989-08-01,128212.50498609415,140491.397684
1989-08-02,128446.20419874514,140753.886562
1989-08-03,127010.2662828855,140977.76154399998
1989-08-04,126784.28447106366,140661.238456
1989-08-07,127089.54470134074,142934.784246
1989-08-08,127218.4264442819,142965.659228
1989-08-09,126843.10140449533,142004.522702
1989-08-10,126951.26979526287,142556.5
1989-08-11,125269.34349261642,141151.466176
1989-08-14,125217.85887033967,140514.556912
1989-08-15,126594.7268778368,141197.784246
1989-08-16,126937.97645941502,141610.80694799998
1989-08-17,126411.39628418654,141124.443474
1989-08-18,126503.57150228805,141772.92038599998
1989-08-21,125545.63804499182,139603.602316
1989-08-22,126487.6883662417,139835.20463199998
1989-08-23,127214.91601246578,141271.125404
1989-08-24,127496.89018536135,144065.76154399998
1989-08-25,126665.2612745116,143675.897684
1989-08-28,126845.93909509623,144382.284246
1989-08-29,126743.6351351619,143486.76154399998
1989-08-30,127304.33484546753,143822.579614
1989-08-31,127751.16005934338,144150.68193
1989-09-01,127758.53221545374,145127.26154399998
1989-09-04,127687.08309756921,145127.26154399998
1989-09-05,127689.30013726049,144664.056912
1989-09-06,127859.11025780963,143309.20463199998
1989-09-07,128135.22890166927,142950.22772
1989-09-08,128812.77942890022,143120.056912
1989-09-11,128560.20701627195,142722.47729799998
1989-09-12,128515.76747571505,143162.522702
1989-09-13,128459.48014937324,141834.68193
1989-09-14,128678.0777168996,140900.556912
1989-09-15,128465.85376726749,141684.13614
1989-09-18,129253.00844253463,142375.079614
1989-09-19,128685.28272856891,142363.5
1989-09-20,129438.05960177924,142332.625404
1989-09-21,129575.55829150259,142039.26154399998
1989-09-22,129160.5349016657,142595.102316
1989-09-25,129523.67678834172,141498.86385999998
1989-09-26,129596.3562062358,141545.18193
1989-09-27,129784.81792255142,141865.556912
1989-09-28,130289.7230104116,143328.5
1989-09-29,130962.64852423297,143567.81806999998
1989-10-02,131335.22866906915,144281.92038599998
1989-10-03,132055.34239371287,145918.556912
1989-10-04,132574.54231714286,146856.54579
1989-10-05,133239.6736194786,146871.97729799998
1989-10-06,133018.02874994103,147624.68193
1989-10-09,133285.4399830621,148045.42038599998
1989-10-10,133286.31320415973,147771.36385999998
1989-10-11,133202.24064977455,146895.13614
1989-10-12,134656.94451118985,146235.079614
1989-10-13,130986.55584285199,137295.31806999998
1989-10-16,132607.54520203447,141105.13614
1989-10-17,132518.5542268483,140418.056912
1989-10-18,132734.3528861542,140665.102316
1989-10-19,133647.37213796127,142876.886562
1989-10-20,133233.13893120782,142892.31806999998
1989-10-23,132695.3618165533,141950.47729799998
1989-10-24,132611.92298629667,141487.284246
1989-10-25,132717.16659686712,141012.5
1989-10-26,131299.60383925965,139159.70463199998
1989-10-27,131795.529130029,137978.54579
1989-10-30,132270.0994808528,138005.556912
1989-10-31,133148.31970074665,140236.63614
1989-11-01,133683.0061741614,140584.04579
1989-11-02,132723.4482181367,139541.841158
1989-11-03,133355.47596677227,139194.443474
1989-11-06,133256.04502354653,137179.522702
1989-11-07,134558.97279944413,138144.522702
1989-11-08,134588.41397858944,139530.26154399998
1989-11-09,135021.6079782774,138920.386562
1989-11-10,135151.26860656173,140001.18193
1989-11-13,136008.53779282837,140240.5
1989-11-14,135491.50712610027,139615.18193
1989-11-15,136603.7371281393,140676.68193
1989-11-16,136608.86916189658,140719.13614
1989-11-17,137329.89075588319,141159.18193
1989-11-20,137603.0993550769,140244.36385999998
1989-11-21,138625.88494996494,140344.72772
1989-11-22,140806.27289262085,141302.0
1989-11-23,141058.26660253332,141302.0
1989-11-24,141735.77599151488,142170.5
1989-11-27,141222.53268836834,142911.625404
1989-11-28,140211.9872521952,143000.397684
1989-11-29,140105.98118463077,142104.886562
1989-11-30,141079.43482015037,143093.04579
1989-12-01,143140.81543094487,145026.897684
1989-12-04,142419.852487484,145412.897684
1989-12-05,141369.00335046722,144679.5
1989-12-06,141190.30631225277,144254.897684
1989-12-07,141857.90139534132,143868.897684
1989-12-08,142448.31700939147,144324.386562
1989-12-11,143754.32318524434,144332.102316
1989-12-12,144293.40357027214,145656.079614
1989-12-13,144463.03482854593,146080.68193
1989-12-14,143252.17647416322,145327.97729799998
1989-12-15,144549.687810319,144972.86385999998
1989-12-18,143614.67008979255,142344.20463199998
1989-12-19,144130.80048380813,141842.397684
1989-12-20,144042.57694451953,142004.522702
1989-12-21,144462.12139665298,142811.26154399998
1989-12-22,144135.3129556016,143980.841158
1989-12-25,144131.94759631617,143980.841158
1989-12-26,144659.7060651099,143756.966176
1989-12-27,144529.7865334018,144586.86385999998
1989-12-28,143637.83307601913,145358.86385999998
1989-12-29,144396.1401537147,146528.443474
1990-01-01,144392.8534619857,146528.443474
1990-01-02,146029.9269433394,149133.943474
1990-01-03,145944.85649567374,148751.80694799998
1990-01-04,145077.3737384911,147535.897684
1990-01-05,144983.95458551438,146099.97729799998
1990-01-08,144353.60356264646,146771.625404
1990-01-09,143836.51723650977,145042.341158
1990-01-10,144756.88729460342,144088.92038599998
1990-01-11,145472.42441128785,144594.579614
1990-01-12,143916.44838346815,141051.102316
