,uniform,onlystocks,sixtyforty,riskparity_nested
2017-11-09,427336.362293478,403528.79354169354,518494.536031856,377408.884695346
2017-11-10,421952.1773663623,403278.55932435725,514156.3064483605,374321.18949624593
2017-11-13,423379.9523204998,404028.6758014659,515065.34402274276,375065.331163186
2017-11-14,424527.2737537745,402152.0209848612,515250.1976563023,375060.44929745025
2017-11-15,424959.4293208433,398126.4926150875,515056.5342051763,374457.18383804127
2017-11-16,423947.83284995984,404894.953322676,517998.2861952304,375350.84997506154
2017-11-17,427720.8899540427,402515.3468833971,517921.07359756326,377120.0585986394
2017-11-20,424537.0020245646,403888.9718449906,518577.3008899142,375215.1966728225
2017-11-21,427317.78853901965,409173.7661517456,523367.77017864794,377906.9266356006
2017-11-22,430301.7023581751,408449.9693200044,524130.5352129725,379854.36363984545
2017-11-24,430053.9469311874,410336.5649745423,524848.670086765,380045.63537705044
2017-11-27,430750.7823852118,409927.0354808424,524373.0185907724,380551.5223560842
2017-11-28,432771.87361659436,418243.8033800614,531144.3277425647,383528.41240061243
2017-11-29,428808.7232617645,417734.5639288828,528053.4345027916,380984.46977037017
2017-11-30,427880.2209885163,425048.80358290306,532416.0214868756,381691.98423179216
2017-12-01,431499.12569643965,423284.5772191601,534513.3504003778,383442.90273027366
2017-12-04,429158.91021363705,422260.17499698803,533719.3118150264,381805.88726659596
2017-12-05,427224.80737700575,419223.0190126678,532545.4260861292,379832.7399002432
2017-12-06,426748.3089744281,419382.2706851866,533817.1555086469,379732.601384798
2017-12-07,423876.2147604113,422026.7622076738,533854.3885734413,378410.8038302502
2017-12-08,425414.0146660952,426629.377453981,537288.5387956069,380200.65530714596
2017-12-11,425576.5431465406,429199.97179400956,538723.6414596138,380752.3225597373
2017-12-12,423704.9069114511,430714.81826787,539643.9497726422,380009.81013322057
2017-12-13,426890.9889008605,430618.1253719806,541948.4300227609,382202.07713929296
2017-12-14,426633.1701670319,427099.086826054,540025.9908620233,381082.93303576054
2017-12-15,429414.02229767136,434211.9465412906,546300.2890354212,384158.5355279521
2017-12-18,428811.07845038926,439718.5703129391,548172.5993528658,385122.8143426255
2017-12-19,424374.69864892523,436341.28419245605,541915.9677630657,381734.16656388243
2017-12-20,422231.1476812525,435884.10014494223,538714.1688349193,380440.29810429766
2017-12-21,423066.8182027796,437679.56111890415,541408.2575468092,381266.7200003166
2017-12-22,424662.0505595218,437450.6193095804,541581.7027950543,382222.0659902101
2017-12-26,426978.6285765042,436403.9641323068,541443.9883657536,383363.4786236722
2017-12-27,431133.48875140416,436828.63387952175,545281.1204051551,385982.6044839025
2017-12-28,432875.503695475,438626.0863874005,546244.3764101366,387363.62101249705
2017-12-29,434154.29067949747,435318.56127767096,544333.2922516209,387612.4996646828
2018-01-02,434663.5226125537,441549.60481159115,545935.6679478555,389418.0565770867
2018-01-03,436150.5568368034,447134.8863777939,551368.3243087854,391560.35573795415
2018-01-04,436895.2423971128,450903.94878031686,554058.2845517744,392982.88520766376
2018-01-05,436853.81450040214,456913.51194943493,557684.7523331442,394297.72349545034
2018-01-08,437684.8708257024,458584.4753465782,558699.2874322536,394990.10814326885
2018-01-09,433935.95716913015,460660.3122076763,556377.4300010197,393101.69193948584
2018-01-10,433251.3532556451,459250.86185117636,555007.8916385369,392517.0147189533
2018-01-11,435602.97977501777,465951.86175229674,561029.7462865678,395465.4110170489
2018-01-12,439266.1819599344,472026.715222719,565795.6335575515,398955.57405194535
2018-01-16,439105.836879879,468799.9070459881,564352.6082864059,398183.0764070379
2018-01-17,439383.5354587949,477736.24275478465,570297.6956287653,399970.939804828
2018-01-18,436065.1595498699,476130.48919687007,566463.4244880802,397627.62796373793
2018-01-19,436028.87181778287,480462.5952499101,568077.3575774967,398533.844514866
2018-01-22,438326.7699817998,488275.37029822066,574055.4082696436,401538.3875017747
2018-01-23,442219.9911709184,490348.31987757055,577100.0304167185,404312.36489417125
2018-01-24,443643.1756792275,489967.1421436006,575287.9241034528,405032.42006040865
2018-01-25,444859.23775001045,490382.53771606187,577744.8193738449,405672.112113251
2018-01-26,446892.2246427685,501737.04402181227,584859.8147529543,409077.18283259985
2018-01-29,441654.2595612962,495084.49686084513,577907.68008725,404587.29546026466
2018-01-30,436998.0969436573,484928.6926295676,568612.0269779877,399491.6799209035
2018-01-31,440299.9124630563,485410.58827723557,570220.6868306724,401290.31113623956
