,uniform,onlystocks,sixtyforty,riskparity_nested
2013-11-20,-0.1337656229386982,-0.017497648486376582,-0.020003923422065917,-0.08264115120451454
2013-11-21,-0.1277300920156973,-0.0016454876367869575,-0.009292406373664353,-0.07678291550145366
2013-11-22,-0.12131456308784616,0.0,0.0,-0.0695218311292477
2013-11-25,-0.11991787027045142,-0.0019906185856037872,0.0,-0.0681691735727008
2013-11-26,-0.12125504008422161,-0.0014381339769916623,0.0,-0.06756392394607846
2013-11-27,-0.12304174841639581,0.0,0.0,-0.06975318675698794
2013-11-29,-0.12033645725416842,-0.0013251304163817146,-0.0009433128803313373,-0.06854610445029774
2013-12-02,-0.13472147909677368,-0.006510672263918105,-0.008704177952762793,-0.08065514042417132
2013-12-03,-0.13159966022474623,-0.015094455183532696,-0.012003099919646099,-0.0774194988485516
2013-12-04,-0.13026129663647257,-0.01531392176444879,-0.017397101516077207,-0.08013275195393454
2013-12-05,-0.1397251490623992,-0.0239696091460333,-0.024729075043042115,-0.08800641538773735
2013-12-06,-0.1299791607918871,-0.0021537939256451866,-0.00914231249233477,-0.07938682479046821
2013-12-09,-0.1264682524974029,0.0,-0.0046984597356345414,-0.07651954391932525
2013-12-10,-0.11963843428590759,-0.007165893159384207,-0.004959057981742898,-0.0699589340668334
2013-12-11,-0.13190955888297673,-0.029463222488125607,-0.023150580864102488,-0.08162034886006553
2013-12-12,-0.1441138808481549,-0.03587085495088149,-0.029616878434343907,-0.09169260695815584
2013-12-13,-0.13985201000429992,-0.03608707675397005,-0.02728044432904342,-0.08895340229270421
2013-12-16,-0.13682647782305546,-0.02407494373167729,-0.02166955916327351,-0.08549113328531643
2013-12-17,-0.13936493176295583,-0.03028169274306014,-0.022437684126230595,-0.08688706653336431
2013-12-18,-0.1367895073789689,0.0,-0.0059158044920831765,-0.08169662550702284
2013-12-19,-0.1476692879457564,-0.002311529218656294,-0.009314437184403834,-0.08947850592762585
2013-12-20,-0.13310648000509573,0.0,0.0,-0.07603407384432914
2013-12-23,-0.1360117586842553,0.0,0.0,-0.07779784903088804
2013-12-24,-0.13665472176808624,0.0,-0.0019419409858560943,-0.07908571067313386
2013-12-26,-0.13519486694034244,0.0,0.0,-0.07735320717559313
2013-12-27,-0.13415878122121838,-0.00010909467268793716,-0.0013790357831724442,-0.07681138031338286
2013-12-30,-0.13634036010374606,-0.0004348457139912165,0.0,-0.077118445232909
2013-12-31,-0.13625638958920827,0.0,0.0,-0.07789825239168935
2014-01-02,-0.1375707550628672,-0.019164927560645473,-0.009314509783975855,-0.08225353034423943
2014-01-03,-0.1358601482287075,-0.01948646809247634,-0.009742190517971983,-0.08243978874712132
2014-01-06,-0.1334523168552305,-0.025168886528356027,-0.010619952097677299,-0.08046023252626877
2014-01-07,-0.13029334609467824,-0.013195788075116677,-0.001582674402796358,-0.07588464386018323
2014-01-08,-0.13733404170290553,-0.012766149045510877,-0.004227949926777108,-0.08291159770140799
2014-01-09,-0.1335017168869842,-0.011475078106824244,-0.00019640828827272028,-0.07990875004528386
2014-01-10,-0.11681629131477222,-0.006092412607551667,0.0,-0.06472890909072948
2014-01-13,-0.11875629455874381,-0.03253712186009461,-0.013237772278809845,-0.06880299807961987
2014-01-14,-0.12077826096252686,-0.011453833542608538,-0.0035062501365493715,-0.0683547091448623
