Date,Gold USD
12/05/1981,484.0
13/05/1981,484.3
14/05/1981,476.5
15/05/1981,485.0
18/05/1981,481.8
19/05/1981,481.5
20/05/1981,479.8
21/05/1981,475.0
22/05/1981,472.8
25/05/1981,472.8
26/05/1981,466.5
27/05/1981,466.8
28/05/1981,479.0
29/05/1981,479.3
01/06/1981,483.3
02/06/1981,474.0
03/06/1981,475.5
04/06/1981,462.5
05/06/1981,460.0
08/06/1981,473.5
09/06/1981,460.5
10/06/1981,465.3
11/06/1981,464.3
12/06/1981,472.0
15/06/1981,471.8
16/06/1981,461.5
17/06/1981,461.8
18/06/1981,459.0
19/06/1981,458.3
22/06/1981,462.0
23/06/1981,466.5
24/06/1981,462.0
25/06/1981,446.5
26/06/1981,442.0
29/06/1981,428.8
30/06/1981,426.0
01/07/1981,422.0
02/07/1981,414.5
03/07/1981,414.0
06/07/1981,403.8
07/07/1981,405.0
08/07/1981,397.8
09/07/1981,406.3
10/07/1981,416.5
13/07/1981,413.0
14/07/1981,402.3
15/07/1981,412.3
16/07/1981,418.3
17/07/1981,415.0
20/07/1981,412.5
21/07/1981,406.0
22/07/1981,411.5
23/07/1981,407.8
24/07/1981,407.5
27/07/1981,408.8
28/07/1981,401.5
29/07/1981,401.5
30/07/1981,402.3
31/07/1981,406.0
03/08/1981,392.5
04/08/1981,391.3
05/08/1981,392.4
06/08/1981,393.3
07/08/1981,397.3
10/08/1981,393.8
11/08/1981,401.0
12/08/1981,417.5
13/08/1981,407.3
14/08/1981,413.0
17/08/1981,411.5
18/08/1981,420.0
19/08/1981,431.5
20/08/1981,429.0
21/08/1981,429.5
24/08/1981,422.0
25/08/1981,409.8
26/08/1981,414.0
27/08/1981,411.8
28/08/1981,425.0
31/08/1981,425.0
01/09/1981,421.5
02/09/1981,430.0
03/09/1981,436.5
04/09/1981,439.5
07/09/1981,436.5
08/09/1981,439.0
09/09/1981,436.8
10/09/1981,451.5
11/09/1981,448.3
14/09/1981,451.3
15/09/1981,456.0
16/09/1981,449.0
17/09/1981,459.0
18/09/1981,447.0
21/09/1981,463.5
22/09/1981,462.0
23/09/1981,456.5
24/09/1981,446.3
25/09/1981,450.5
28/09/1981,421.5
29/09/1981,431.8
30/09/1981,428.8
01/10/1981,436.8
02/10/1981,435.0
05/10/1981,441.3
06/10/1981,443.0
07/10/1981,445.5
08/10/1981,443.3
09/10/1981,453.5
12/10/1981,449.5
13/10/1981,443.3
14/10/1981,444.3
15/10/1981,446.7
16/10/1981,443.8
19/10/1981,436.7
20/10/1981,437.3
21/10/1981,429.0
22/10/1981,433.8
23/10/1981,432.5
26/10/1981,426.0
27/10/1981,427.4
28/10/1981,430.8
29/10/1981,424.5
30/10/1981,427.0
02/11/1981,430.0
03/11/1981,428.3
04/11/1981,431.3
05/11/1981,428.5
06/11/1981,428.3
09/11/1981,429.8
10/11/1981,418.5
11/11/1981,412.0
12/11/1981,411.5
13/11/1981,412.5
16/11/1981,404.3
17/11/1981,398.8
18/11/1981,403.8
19/11/1981,401.0
20/11/1981,401.5
23/11/1981,396.8
24/11/1981,399.3
25/11/1981,409.5
26/11/1981,409.5
27/11/1981,411.5
30/11/1981,414.5
01/12/1981,402.5
02/12/1981,406.8
03/12/1981,416.5
04/12/1981,426.0
07/12/1981,416.8
08/12/1981,415.3
09/12/1981,410.3
10/12/1981,405.5
11/12/1981,409.8
14/12/1981,417.5
15/12/1981,413.3
16/12/1981,416.8
17/12/1981,416.3
18/12/1981,415.8
21/12/1981,410.5
22/12/1981,399.6
23/12/1981,400.4
24/12/1981,400.4
25/12/1981,400.4
28/12/1981,400.4
29/12/1981,395.0
30/12/1981,397.5
31/12/1981,397.5
01/01/1982,397.5
04/01/1982,395.0
05/01/1982,403.5
06/01/1982,401.5
07/01/1982,396.5
08/01/1982,400.3
11/01/1982,388.3
12/01/1982,389.0
13/01/1982,380.0
14/01/1982,374.8
15/01/1982,379.3
18/01/1982,373.8
19/01/1982,375.3
20/01/1982,371.5
21/01/1982,376.0
22/01/1982,377.3
25/01/1982,372.0
26/01/1982,376.5
27/01/1982,381.8
28/01/1982,383.5
29/01/1982,387.0
01/02/1982,379.5
02/02/1982,379.2
03/02/1982,378.0
04/02/1982,383.8
05/02/1982,384.3
08/02/1982,379.8
09/02/1982,378.5
10/02/1982,382.2
11/02/1982,380.0
12/02/1982,377.5
15/02/1982,375.3
16/02/1982,375.3
17/02/1982,374.0
18/02/1982,369.3
19/02/1982,369.3
22/02/1982,364.3
23/02/1982,361.0
24/02/1982,362.8
25/02/1982,366.5
26/02/1982,362.6
01/03/1982,361.3
02/03/1982,361.3
03/03/1982,353.8
04/03/1982,346.5
05/03/1982,342.4
08/03/1982,330.5
09/03/1982,329.3
10/03/1982,333.0
11/03/1982,331.8
12/03/1982,323.3
15/03/1982,312.0
16/03/1982,324.5
17/03/1982,316.0
18/03/1982,320.0
19/03/1982,315.8
22/03/1982,320.8
23/03/1982,329.3
24/03/1982,331.8
25/03/1982,327.8
26/03/1982,322.3
29/03/1982,318.5
30/03/1982,324.3
31/03/1982,320.0
01/04/1982,327.0
02/04/1982,327.8
05/04/1982,337.5
06/04/1982,345.5
07/04/1982,354.0
08/04/1982,351.5
09/04/1982,351.5
12/04/1982,351.5
13/04/1982,353.5
14/04/1982,366.8
15/04/1982,363.3
16/04/1982,362.8
19/04/1982,357.0
20/04/1982,343.0
21/04/1982,346.8
22/04/1982,345.0
23/04/1982,352.3
26/04/1982,357.0
27/04/1982,351.8
28/04/1982,354.5
29/04/1982,348.8
30/04/1982,361.3
03/05/1982,361.3
04/05/1982,341.8
05/05/1982,338.4
06/05/1982,334.5
07/05/1982,334.8
10/05/1982,329.0
11/05/1982,332.3
12/05/1982,331.5
13/05/1982,331.0
14/05/1982,333.3
17/05/1982,338.5
18/05/1982,338.0
19/05/1982,342.0
20/05/1982,342.5
21/05/1982,338.5
24/05/1982,329.0
25/05/1982,327.9
26/05/1982,330.3
27/05/1982,324.3
28/05/1982,325.3
31/05/1982,325.3
01/06/1982,318.8
02/06/1982,318.5
03/06/1982,320.4
04/06/1982,318.8
07/06/1982,325.3
08/06/1982,328.8
09/06/1982,326.0
10/06/1982,326.8
11/06/1982,325.3
14/06/1982,320.8
15/06/1982,315.0
16/06/1982,317.0
17/06/1982,309.0
18/06/1982,308.8
21/06/1982,296.8
22/06/1982,304.0
23/06/1982,304.0
24/06/1982,310.3
25/06/1982,305.5
28/06/1982,303.8
29/06/1982,309.0
30/06/1982,317.5
01/07/1982,310.3
02/07/1982,312.8
05/07/1982,315.3
06/07/1982,311.0
07/07/1982,306.8
08/07/1982,313.5
09/07/1982,328.5
12/07/1982,343.0
13/07/1982,352.5
14/07/1982,352.8
15/07/1982,350.3
16/07/1982,347.0
19/07/1982,347.5
20/07/1982,347.8
21/07/1982,366.5
22/07/1982,353.0
23/07/1982,363.3
26/07/1982,352.3
27/07/1982,351.3
28/07/1982,347.0
29/07/1982,342.5
30/07/1982,342.9
02/08/1982,351.4
03/08/1982,349.3
04/08/1982,346.3
05/08/1982,346.5
06/08/1982,344.8
09/08/1982,336.0
10/08/1982,338.3
11/08/1982,333.5
12/08/1982,334.8
13/08/1982,338.0
16/08/1982,341.8
17/08/1982,337.8
18/08/1982,357.8
19/08/1982,356.7
20/08/1982,386.5
23/08/1982,394.5
24/08/1982,407.8
25/08/1982,401.0
26/08/1982,417.0
27/08/1982,418.0
30/08/1982,418.0
31/08/1982,411.5
01/09/1982,405.3
02/09/1982,409.8
03/09/1982,455.0
06/09/1982,474.0
07/09/1982,481.0
08/09/1982,458.0
09/09/1982,466.0
10/09/1982,453.0
13/09/1982,439.0
14/09/1982,454.3
15/09/1982,443.3
16/09/1982,448.5
17/09/1982,441.5
20/09/1982,424.3
21/09/1982,426.5
22/09/1982,443.8
23/09/1982,435.9
24/09/1982,431.0
27/09/1982,413.8
28/09/1982,410.5
29/09/1982,409.8
30/09/1982,397.0
01/10/1982,402.0
04/10/1982,387.5
05/10/1982,390.3
06/10/1982,404.0
07/10/1982,418.5
08/10/1982,433.0
11/10/1982,430.0
12/10/1982,441.3
13/10/1982,428.8
14/10/1982,448.0
15/10/1982,432.5
18/10/1982,428.3
19/10/1982,441.5
20/10/1982,422.0
21/10/1982,432.5
22/10/1982,428.0
25/10/1982,418.6
26/10/1982,419.3
27/10/1982,417.8
28/10/1982,418.3
29/10/1982,423.3
01/11/1982,427.3
02/11/1982,431.0
03/11/1982,427.5
04/11/1982,424.8
05/11/1982,417.5
