sep=;
SYNCHRONY LPP FUNDS - LPP 80 B - CH0358551346 (CHF)
Date;CCY Chart Price;Chart Price;CCY Adjusted Chart Price;Adjusted Chart Price;CCY Total Return Chart Price;Total Return Chart Price;Net Asset Value;Issue Price;Redemption Price;Closing Price
2019-04-30;CHF;108.7;CHF;108.7;CHF;108.7;108.7;;;
2019-05-02;CHF;108.4;CHF;108.4;CHF;108.4;108.4;;;
2019-05-08;CHF;107.64;CHF;107.64;CHF;107.64;107.64;;;
2019-05-15;CHF;105.92;CHF;105.92;CHF;105.92;105.92;;;
2019-05-22;CHF;106.96;CHF;106.96;CHF;106.96;106.96;;;
2019-05-29;CHF;105.7;CHF;105.7;CHF;105.7;105.7;;;
2019-05-31;CHF;105.59;CHF;105.59;CHF;105.59;105.59;;;
2019-06-05;CHF;106.44;CHF;106.44;CHF;106.44;106.44;;;
2019-06-12;CHF;108.24;CHF;108.24;CHF;108.24;108.24;;;
2019-06-15;CHF;108.18;CHF;108.18;CHF;108.18;108.18;;;
2019-06-19;CHF;109.3;CHF;109.3;CHF;109.3;109.3;;;
2019-06-26;CHF;108.23;CHF;108.23;CHF;108.23;108.23;;;
2019-06-28;CHF;109.01;CHF;109.01;CHF;109.01;109.01;;;
2019-07-03;CHF;110.67;CHF;110.67;CHF;110.67;110.67;;;
2019-07-10;CHF;109.42;CHF;109.42;CHF;109.42;109.42;;;
2019-07-15;CHF;108.87;CHF;108.87;CHF;108.87;108.87;;;
2019-07-17;CHF;109.33;CHF;109.33;CHF;109.33;109.33;;;
2019-07-24;CHF;109.63;CHF;109.63;CHF;109.63;109.63;;;
2019-07-31;CHF;109.66;CHF;109.66;CHF;109.66;109.66;;;
2019-08-07;CHF;106.33;CHF;106.33;CHF;106.33;106.33;;;
2019-08-14;CHF;106.07;CHF;106.07;CHF;106.07;106.07;;;
2019-08-15;CHF;105.89;CHF;105.89;CHF;105.89;105.89;;;
2019-08-21;CHF;108.15;CHF;108.15;CHF;108.15;108.15;;;
2019-08-28;CHF;107.25;CHF;107.25;CHF;107.25;107.25;;;
2019-08-30;CHF;108.89;CHF;108.89;CHF;108.89;108.89;;;
2019-09-04;CHF;108.9;CHF;108.9;CHF;108.9;108.9;;;
2019-09-11;CHF;110.36;CHF;110.36;CHF;110.36;110.36;;;
2019-09-15;CHF;109.86;CHF;109.86;CHF;109.86;109.86;;;
2019-09-18;CHF;109.95;CHF;109.95;CHF;109.95;109.95;;;
2019-09-25;CHF;108.94;CHF;108.94;CHF;108.94;108.94;;;
2019-09-30;CHF;110.01;CHF;110.01;CHF;110.01;110.01;;;
2019-10-02;CHF;107.62;CHF;107.62;CHF;107.62;107.62;;;
2019-10-09;CHF;108.45;CHF;108.45;CHF;108.45;108.45;;;
2019-10-15;CHF;110.35;CHF;110.35;CHF;110.35;110.35;;;
2019-10-16;CHF;110.18;CHF;110.18;CHF;110.18;110.18;;;
2019-10-23;CHF;109.56;CHF;109.56;CHF;109.56;109.56;;;
2019-10-30;CHF;111.59;CHF;111.59;CHF;111.59;111.59;;;
2019-10-31;CHF;111.32;CHF;111.32;CHF;111.32;111.32;;;
2019-11-06;CHF;112.3;CHF;112.3;CHF;112.3;112.3;;;
2019-11-13;CHF;112.25;CHF;112.25;CHF;112.25;112.25;;;
2019-11-15;CHF;112.56;CHF;112.56;CHF;112.56;112.56;;;
2019-11-20;CHF;112.91;CHF;112.91;CHF;112.91;112.91;;;
2019-11-27;CHF;114.55;CHF;114.55;CHF;114.55;114.55;;;
2019-11-29;CHF;114.24;CHF;114.24;CHF;114.24;114.24;;;
2019-12-04;CHF;112.91;CHF;112.91;CHF;112.91;112.91;;;
2019-12-11;CHF;113.73;CHF;113.73;CHF;113.73;113.73;;;
2019-12-15;CHF;114.16;CHF;114.16;CHF;114.16;114.16;;;
2019-12-18;CHF;114.84;CHF;114.84;CHF;114.84;114.84;;;
2019-12-27;CHF;116.29;CHF;116.29;CHF;116.29;116.29;;;
2019-12-31;CHF;115.29;CHF;115.29;CHF;115.29;115.29;;;
2020-01-03;CHF;115.99;CHF;115.99;CHF;115.99;115.99;;;
2020-01-08;CHF;115.6;CHF;115.6;CHF;115.6;115.6;;;
2020-01-15;CHF;115.98;CHF;115.98;CHF;115.98;115.98;;;
2020-01-22;CHF;117.61;CHF;117.61;CHF;117.61;117.61;;;
2020-01-29;CHF;117.04;CHF;117.04;CHF;117.04;117.04;;;
2020-01-31;CHF;114.88;CHF;114.88;CHF;114.88;114.88;;;
2020-02-05;CHF;117.83;CHF;117.83;CHF;117.83;117.83;;;
2020-02-12;CHF;118.77;CHF;118.77;CHF;118.77;118.77;;;
2020-02-15;CHF;119.05;CHF;119.05;CHF;119.05;119.05;;;
2020-02-19;CHF;119.79;CHF;119.79;CHF;119.79;119.79;;;
2020-02-26;CHF;113.9;CHF;113.9;CHF;113.9;113.9;;;
2020-02-28;CHF;108.51;CHF;108.51;CHF;108.51;108.51;;;
2020-03-04;CHF;112.34;CHF;112.34;CHF;112.34;112.34;;;
2020-03-11;CHF;102.4;CHF;102.4;CHF;102.4;102.4;;;
2020-03-15;CHF;97.24;CHF;97.24;CHF;97.24;97.24;;;
2020-03-18;CHF;94.19;CHF;94.19;CHF;94.19;94.19;;;
2020-03-25;CHF;99.4;CHF;99.4;CHF;99.4;99.4;;;
2020-03-31;CHF;102.06;CHF;102.06;CHF;102.06;102.06;;;
2020-04-01;CHF;100.71;CHF;100.71;CHF;100.71;100.71;;;
2020-04-08;CHF;104.3;CHF;104.3;CHF;104.3;104.3;;;
2020-04-15;CHF;104.14;CHF;104.14;CHF;104.14;104.14;;;
2020-04-22;CHF;106.58;CHF;106.58;CHF;106.58;106.58;;;
2020-04-29;CHF;108.83;CHF;108.83;CHF;108.83;108.83;;;
2020-04-30;CHF;107.44;CHF;107.44;CHF;107.44;107.44;;;
2020-05-06;CHF;107.01;CHF;107.01;CHF;107.01;107.01;;;
2020-05-13;CHF;107.34;CHF;107.34;CHF;107.34;107.34;;;
2020-05-15;CHF;106.65;CHF;106.65;CHF;106.65;106.65;;;
2020-05-20;CHF;109.43;CHF;109.43;CHF;109.43;109.43;;;
2020-05-27;CHF;109.47;CHF;109.47;CHF;109.47;109.47;;;
2020-05-29;CHF;110.43;CHF;110.43;CHF;110.43;110.43;;;
2020-06-03;CHF;112.92;CHF;112.92;CHF;112.92;112.92;;;
2020-06-10;CHF;112.41;CHF;112.41;CHF;112.41;112.41;;;
2020-06-15;CHF;109.92;CHF;109.92;CHF;109.92;109.92;;;
2020-06-17;CHF;112.64;CHF;112.64;CHF;112.64;112.64;;;
2020-06-24;CHF;111.31;CHF;111.31;CHF;111.31;111.31;;;
