,uniform,onlystocks,sixtyforty,riskparity,benchmark
2010-11-19,-0.06003688999729129,-0.5551523660465316,-0.03829520120032959,-0.0424537859311892,-0.17750650024713677
2010-11-22,-0.05261806256030466,-0.5565436857373478,-0.03507051818083218,-0.03746605529992897,-0.1787608398369176
2010-11-23,-0.06905881754088172,-0.5692136737639176,-0.06791482645252156,-0.055101671881027214,-0.19045868361889862
2010-11-24,-0.04051145423280722,-0.5563421961416768,-0.034706268654478456,-0.03741791913822923,-0.17833589356990964
2010-11-25,-0.04030514340057678,-0.5563421961416768,-0.034706268654478456,-0.037313093592636015,-0.17833589356990964
2010-11-26,-0.04926018145499056,-0.562788759038153,-0.04332104161643491,-0.04362199217499085,-0.18427267287146742
2010-11-29,-0.03887321120321141,-0.5637861898501809,-0.039254764723091196,-0.03886893372778588,-0.18517159378548598
2010-11-30,-0.054279340010673804,-0.56906607286274,-0.06314049853835912,-0.05238207876785206,-0.19007054612473684
2010-12-01,-0.037887393292057814,-0.5503429321275783,-0.04198910522687915,-0.04255083252214997,-0.17244819290453783
2010-12-02,-0.029724409756867187,-0.5388351651702312,-0.02999616928679294,-0.03352111882473563,-0.16182902455597314
2010-12-03,-0.0113312161457787,-0.536424287834371,-0.018955383155865757,-0.021445592207350983,-0.15960633615612152
2010-12-06,-0.02796390535150528,-0.5376321088509095,-0.041228100096449616,-0.03781632659644485,-0.16066860192415455
2010-12-07,-0.031827973497362216,-0.5371769713993755,-0.04399192085465187,-0.04280007489759874,-0.1602233059886935
2010-12-08,-0.035606222051417946,-0.5335458026101494,-0.0355185156090877,-0.04878017469598783,-0.15689735339832278
2010-12-09,-0.036103370250777256,-0.5299233576750478,-0.03443667541617934,-0.0486069374181648,-0.15359184976301132
2010-12-10,-0.03644157258101721,-0.5243081082617781,-0.02393317039824605,-0.04792800340802705,-0.14850496340405628
2010-12-13,-0.04530010693454922,-0.5241483892560541,-0.043196842357692056,-0.05120488960843417,-0.14832929883910506
2010-12-14,-0.05292161420254382,-0.5233036567170405,-0.0474956703210887,-0.056353683777198404,-0.1475407539874417
2010-12-15,-0.05371135271738359,-0.5282033348401569,-0.05131993594519102,-0.0578970041220479,-0.15188807443572638
