,uniform,onlystocks,sixtyforty,riskparity,benchmark
1994-11-17,248328.1251503064,421495.16634834505,382198.3410178192,219879.5805922556,231787.98839999997
1994-11-18,247042.78800467815,417823.316958927,379693.8840859379,218516.36070763037,230787.98839999997
1994-11-21,249443.89888387252,412095.2574673191,381889.7201815057,218736.0595233571,229215.99119999987
1994-11-22,251138.3000868727,397296.4644181745,377977.06699866,219773.54133874382,225111.98759999993
1994-11-23,252347.94280798835,397096.3606356172,378780.8119020433,220537.3692072119,225063.98919999992
1994-11-24,252235.2840870927,397096.3606356172,378780.8119020433,220380.1313110761,225063.98919999992
1994-11-25,250935.0737924422,401529.37880963634,378307.59995418094,219804.46270535074,226328.00320000004
1994-11-28,249089.62111485747,404964.0057500407,377020.48110149166,218812.3873423002,227304.00399999996
1994-11-29,250421.23907697704,406772.7325567067,381305.9443355206,218920.2887372899,227819.99519999998
1994-11-30,247948.57062605422,404125.6021985964,377191.5122157006,218030.30425576787,227087.98839999997
1994-12-01,250042.71366069204,395745.8727759399,379385.58851698146,217596.2262768666,224743.99439999994
1994-12-02,247979.06661397876,403553.3931127227,381996.5316074525,216031.31535797068,226967.99319999997
1994-12-05,250647.36453553883,403693.15567067167,387037.668384634,216641.73528719408,227015.99119999987
1994-12-06,248871.4011072765,403320.4507679845,384407.3540947446,215598.66214092652,226919.99519999998
1994-12-07,249612.1215155446,399974.0422419858,382706.93740720104,216205.56711317305,225987.98839999997
1994-12-08,250856.29413793713,389727.3444219241,379075.39473216626,216618.28240796426,223104.00399999996
1994-12-09,248728.4528670947,392676.1334969182,376316.480635068,215999.27541905522,223956.00599999994
1994-12-12,251800.5568778857,397109.6721961903,382583.6422901057,217077.1386501407,225228.00320000004
1994-12-13,251726.57409444067,398349.44448384887,383532.19503198436,217791.78473311532,225587.98839999994
1994-12-14,253437.12949227722,406857.41258979205,388803.9946033934,219222.43707920352,228004.00399999993
1994-12-15,253226.831902118,407554.6928729752,389141.76528069685,218676.52691231677,228208.0079999999
1994-12-16,254864.20123957325,413728.27812803304,393672.53232317953,219729.13892244533,229943.9943999999
1994-12-19,253294.67666421863,412112.0355208708,392139.64595290995,218654.08513900088,229504.00399999993
1994-12-20,254351.42769862514,410671.490262024,391835.8282059417,219868.48214438892,229111.9875999999
1994-12-21,254621.41165868286,415160.0772427803,393366.31771809317,220007.0758427325,230371.99719999993
1994-12-22,254950.60979149488,415243.5847375801,393420.86227083055,220092.6441397037,230404.00399999993
1994-12-23,257666.8167823351,416120.6154435758,397503.80515951064,221115.95337229403,230656.0059999999
1994-12-26,257659.4579695385,416120.6154435758,397503.80515951064,221107.84678693768,230656.0059999999
1994-12-27,258485.00524781158,420883.58173114574,397962.5469723267,222270.12605297775,231984.00879999992
1994-12-28,258267.22677840898,417917.2720937316,395508.78133761,222310.1906718048,231176.0011999999
1994-12-29,258020.6433560567,418478.4543630396,394779.70220539346,222774.79980998815,231339.9903999999
1994-12-30,256952.0039406034,415245.9043888928,390976.49106697325,222464.86446438983,230456.0059999999
1995-01-02,256944.3891206092,415245.9043888928,390976.49106697325,222456.5599161582,230456.0059999999
1995-01-03,257208.7394995026,414939.8895199514,393854.3443837368,221475.08188459883,230380.00519999996
1995-01-04,254772.75078620794,418036.8580203361,394104.4740135476,218981.38139012703,231247.99799999985
1995-01-05,255698.6712062838,417440.2745078402,394997.67406753055,219187.29766136853,231091.99239999993
1995-01-06,253894.95076823412,418015.50741045095,393611.7761166146,218367.2063188645,231259.98559999993
1995-01-09,253418.54401668758,418359.6003048338,395458.90854586137,217205.61691826044,231363.9891999999
1995-01-10,254756.12688819494,419876.35436462855,397726.6842460082,218259.12083787518,231791.99239999993
1995-01-11,254402.33807297854,419815.1141023213,395921.28749532474,218893.85381475024,231784.00879999992
1995-01-12,256822.29610202386,419739.2803422343,398053.97412104195,221624.5648588882,231771.99719999993
1995-01-13,258322.03203765413,427738.8908062796,405629.8125297047,221351.96750998654,233987.98839999994
1995-01-16,259794.8293563337,433969.54068969126,409201.9076178376,221984.71806815875,235699.99999999994
1995-01-17,262171.22213789355,435203.7469736416,410218.25960122683,223838.12359176084,236043.9943999999
1995-01-18,262006.87138692616,434565.1516803808,408036.94456582976,224832.60788664257,235880.00519999996
1995-01-19,258765.38363397782,429413.9198265891,402032.0483351983,223144.9159264152,234491.99239999993
1995-01-20,258452.30868965533,425393.3911442574,398508.64190265705,223748.77066605393,233404.00399999993
1995-01-23,256938.8415553294,427301.1500347896,399060.7092947299,222498.63254843064,233935.98639999994
1995-01-24,258684.81652600682,427429.20005726104,401730.4715579863,222962.53409745923,233980.00519999996
1995-01-25,259808.52523063318,430423.5565331921,405339.51970831014,223741.57164545608,234808.0079999999
1995-01-26,264166.8371896599,432048.61385465466,412891.6645293208,226068.21607739662,235259.98559999993
1995-01-27,262125.265199486,435852.6295615013,413287.56008751976,225346.8447057636,236304.00399999993
