,GLD,COM,SP500TR,LTB,ITB
2011-09-13,-0.08073364205877676,-0.8478550788189622,-0.5819969027229974,-0.3370889055822126,-0.009900449447436288
2011-09-14,-0.08231962907192825,-0.8494269335994891,-0.5707601091205489,-0.3544593857009275,-0.014018859041476928
2011-09-15,-0.11922864003892442,-0.8476804021533718,-0.5558812170768829,-0.3506045937988823,-0.012362830504855649
2011-09-16,-0.10743415114380184,-0.8502273290184996,-0.5508286359415471,-0.29212368563734126,-0.002545122326431448
2011-09-19,-0.1075028100552523,-0.8567226986020233,-0.5596644689855264,-0.30002249491773847,-0.0040443842355253334
2011-09-20,-0.10259656296091857,-0.8546304736053705,-0.5611349071638962,-0.22658705852838767,-0.005141863512942657
2011-09-21,-0.10865160913876637,-0.8569470200734394,-0.5869347552608137,-0.1067041452741333,0.0
2011-09-22,-0.17931218304561147,-0.8708746557331543,-0.613300400880708,-0.15028487230442422,-0.0076211808980730655
2011-09-23,-0.21083024662854977,-0.8743861844331953,-0.6085254151466656,-0.2134467453049248,-0.01323134250651814
2011-09-26,-0.29592878213842355,-0.873924479899087,-0.5902855199848787,-0.26481961816286903,-0.01957707016616117
2011-09-27,-0.2422303203245063,-0.8656801262435891,-0.5815526609115635,-0.2544950256902908,-0.01831898037595059
2011-09-28,-0.2569050236510507,-0.8728286075835667,-0.5986926072855432,-0.21220735532582813,-0.019584750302703235
2011-09-29,-0.2840989459600689,-0.8714725055932689,-0.592173258875424,-0.1769083325058045,-0.019004962763881417
2011-09-30,-0.2779403669417514,-0.878171321036846,-0.6125688608061722,-0.09727393664478501,-0.010232355300025753
2011-10-03,-0.24635008656629043,-0.8803978688432285,-0.6346070197168764,-0.09553767767782073,-0.011617245756844419
2011-10-04,-0.2623414616118973,-0.8843330311105284,-0.6181023814618989,-0.1598126516432331,-0.018554090144673685
2011-10-05,-0.2813125260735194,-0.8779069424995256,-0.6040852306951727,-0.192067417740852,-0.02302295894586548
2011-10-06,-0.2653673464839541,-0.8719404866829373,-0.5895490975336983,-0.22317854050963737,-0.029482755331873944
2011-10-07,-0.2501470920277985,-0.8719019131971033,-0.5962605485902105,-0.2267657942247312,-0.03024835889881694
2011-10-10,-0.24203446288542918,-0.8666067722097461,-0.5687376125809726,-0.26497883916562504,-0.035406727279068906
2011-10-11,-0.24026744453814963,-0.8641363870375154,-0.568288961058605,-0.30814954292529995,-0.037875453832783235
2011-10-12,-0.22296579103158487,-0.8637347776219277,-0.5597298337094739,-0.2763587701954415,-0.031187023474792408
2011-10-13,-0.2470480235753576,-0.8648546583649266,-0.5623085242407446,-0.30591899809943934,-0.03242667289985812
2011-10-14,-0.2270999725700651,-0.8582866777660374,-0.5471313657812892,-0.27570131021875743,-0.027913883430701003
2011-10-17,-0.22347456335549243,-0.8605190988639928,-0.5646792053828158,-0.28441892836635496,-0.02598817362015593
2011-10-18,-0.2706244236305796,-0.8586260997237685,-0.5469352744764735,-0.2892961354235123,-0.026371193182000208
2011-10-19,-0.2514511304350201,-0.8634065722650074,-0.5582889650354133,-0.3023110081124113,-0.02790805297759913
2011-10-20,-0.2809523882862647,-0.8642037657197414,-0.5542760883581876,-0.3226741030831224,-0.027712055084724407
2011-10-21,-0.2610341548711862,-0.861618401784909,-0.5375223070370586,-0.3327995672910373,-0.03068428227067399
